| People and Society | Libya |
| --- | --- |
| Population: | 6,890,535 (July 2020 est.) |
| Population: | note: immigrants make up just over 12% of the total population, according to UN data (2017) |
| Nationality: | noun: Libyan(s) |
| Nationality: | adjective: Libyan |
| Ethnic groups: | Berber and Arab 97%, other 3% (includes Egyptian, Greek, Indian, Italian, Maltese, Pakistani, Tunisian, and Turkish) |
| Languages: | Arabic (official), Italian, English (all widely understood in the major cities); Berber (Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq) |
| Religions: | Muslim (official; virtually all Sunni) 96.6%, Christian 2.7%, Buddhist 0.3%, Hindu <0.1, Jewish <0.1, folk religion <0.1, unafilliated 0.2%, other <0.1 (2010 est.) |
| Religions: | note: non-Sunni Muslims include native Ibadhi Muslims (<1% of the population) and foreign Muslims |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Demographic profile: | Despite continuing unrest, Libya remains a destination country for economic migrants. It is also a hub for transit migration to Europe because of its proximity to southern Europe and its lax border controls. Labor migrants have been drawn to Libya since the development of its oil sector in the 1960s. Until the latter part of the 1990s, most migrants to Libya were Arab (primarily Egyptians and Sudanese). However, international isolation stemming from Libyaâ€™s involvement in international terrorism and a perceived lack of support from Arab countries led QADHAFI in 1998 to adopt a decade-long pan-African policy that enabled large numbers of Sub-Saharan migrants to enter Libya without visas to work in the construction and agricultural industries. Although Sub-Saharan Africans provided a cheap labor source, they were poorly treated and were subjected to periodic mass expulsions. |
| Demographic profile: | By the mid-2000s, domestic animosity toward African migrants and a desire to reintegrate into the international community motivated QADHAFI to impose entry visas on Arab and African immigrants and to agree to joint maritime patrols and migrant repatriations with Italy, the main recipient of illegal migrants departing Libya. As his regime neared collapse in 2011, QADHAFI reversed his policy of cooperating with Italy to curb illegal migration and sent boats loaded with migrants and asylum seekers to strain European resources. Libyaâ€™s 2011 revolution decreased immigration drastically and prompted nearly 800,000 migrants to flee to third countries, mainly Tunisia and Egypt, or to their countries of origin. The inflow of migrants declined in 2012 but returned to normal levels by 2013, despite continued hostility toward Sub-Saharan Africans and a less-inviting job market. |
| Demographic profile: | While Libya is not an appealing destination for migrants, since 2014, transiting migrants â€“ primarily from East and West Africa â€“ continue to exploit its political instability and weak border controls and use it as a primary departure area to migrate across the central Mediterranean to Europe in growing numbers. In addition, more than 200,000 people were displaced internally as of August 2017 by fighting between armed groups in eastern and western Libya and, to a lesser extent, by inter-tribal clashes in the countryâ€™s south. |
| Age structure: | 0-14 years: 33.65% (male 1,184,755/female 1,134,084) |
| Age structure: | 15-24 years: 15.21% (male 534,245/female 513,728) |
| Age structure: | 25-54 years: 41.57% (male 1,491,461/female 1,373,086) |
| Age structure: | 55-64 years: 5.52% (male 186,913/female 193,560) |
| Age structure: | 65 years and over: 4.04% (male 129,177/female 149,526) (2020 est.) |
| Dependency ratios: | total dependency ratio: 47.7 |
| Dependency ratios: | youth dependency ratio: 41 |
| Dependency ratios: | elderly dependency ratio: 6.7 |
| Dependency ratios: | potential support ratio: 15 (2020 est.) |
| Median age: | total: 25.8 years |
| Median age: | male: 25.9 years |
| Median age: | female: 25.7 years (2020 est.) |
| Population growth rate: | 1.94% (2020 est.) |
| Birth rate: | 23 births/1,000 population (2020 est.) |
| Death rate: | 3.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.7 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water as shown in this population distribution map |
| Urbanization: | urban population: 80.7% of total population (2020) |
| Urbanization: | rate of urbanization: 1.68% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.165 million TRIPOLI (capital), 881,000 Misratah, 824,000 Benghazi (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.09 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2020 est.) |
| Maternal mortality rate: | 72 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.5 deaths/1,000 live births |
| Infant mortality rate: | male: 12.9 deaths/1,000 live births |
| Infant mortality rate: | female: 10 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.7 years |
| Life expectancy at birth: | male: 74.4 years |
| Life expectancy at birth: | female: 79.1 years (2020 est.) |
| Total fertility rate: | 3.17 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 27.7% (2014) |
