| People and Society | LIBYA |
| --- | --- |
| Nationality: | noun: Libyan(s) |
| Nationality: | adjective: Libyan |
| Ethnic groups: | Berber and Arab 97%, other 3% (includes Greeks, Maltese, Italians, Egyptians, Pakistanis, Turks, Indians, and Tunisians) |
| Languages: | Arabic (official), Italian, English (all widely understood in the major cities); Berber (Nafusi, Ghadamis, Suknah, Awjilah, Tamasheq) |
| Religions: | Muslim (official; virtually all Sunni) 96.6%, Christian 2.7%, Buddhist 0.3%, Hindu |
| Religions: | note: non-Sunni Muslims include native Ibadhi Muslims ( |
| religious affiliation: | Population: |
| religious affiliation: | 6,411,776 |
| religious affiliation: | note: immigrants make up just over 12% of the total population, according to UN data (2013) (July 2015 est.) |
| Age structure: | 0-14 years: 26.52% (male 869,583/female 830,751) |
| Age structure: | 15-24 years: 17.77% (male 588,243/female 551,139) |
| Age structure: | 25-54 years: 46.62% (male 1,567,608/female 1,421,246) |
| Age structure: | 55-64 years: 4.97% (male 163,133/female 155,703) |
| Age structure: | 65 years and over: 4.12% (male 132,740/female 131,630) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.4% |
| population pyramid: | youth dependency ratio: 45.5% |
| population pyramid: | elderly dependency ratio: 6.9% |
| population pyramid: | potential support ratio: 14.5% (2015 est.) |
| Median age: | total: 28 years |
| Median age: | male: 28.2 years |
| Median age: | female: 27.8 years (2015 est.) |
| Population growth rate: | 2.23% (2015 est.) |
| Birth rate: | 18.03 births/1,000 population (2015 est.) |
| Death rate: | 3.58 deaths/1,000 population (2015 est.) |
| Net migration rate: | 7.8 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 78.6% of total population (2015) |
| Urbanization: | rate of urbanization: 1.13% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TRIPOLI (capital) 1.126 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 1.01 male(s)/female |
| Sex ratio: | total population: 1.08 male(s)/female (2015 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 11.48 deaths/1,000 live births |
| Infant mortality rate: | male: 12.42 deaths/1,000 live births |
| Infant mortality rate: | female: 10.5 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 76.26 years |
| Life expectancy at birth: | male: 74.54 years |
| Life expectancy at birth: | female: 78.06 years (2015 est.) |
| Total fertility rate: | 2.05 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 41.9% (2007) |
| Health expenditures: | 4.3% of GDP (2013) |
| Physicians density: | 1.9 physicians/1,000 population (2009) |
| Hospital bed density: | 3.7 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 54.2% of population |
| Drinking water source: | rural: 54.9% of population |
| Drinking water source: | total: 54.4% of population |
| unimproved: | urban: 45.8% of population |
| unimproved: | rural: 45.1% of population |
| unimproved: | total: 45.6% of population (2001 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96.8% of population |
| Sanitation facility access: | rural: 95.7% of population |
| Sanitation facility access: | total: 96.6% of population |
| unimproved: | urban: 3.2% of population |
| unimproved: | rural: 4.3% of population |
| unimproved: | total: 3.4% of population (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 31.9% (2014) |
| Children under the age of 5 years underweight: | 5.6% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 91% |
| Literacy: | male: 96.7% |
| Literacy: | female: 85.6% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 48.7% |
| Unemployment, youth ages 15-24: | male: 40.8% |
| Unemployment, youth ages 15-24: | female: 67.8% (2012 est.) |
