| People and Society | Israel |
| --- | --- |
| Population: | 8,424,904 (July 2017 est.) (includes populations of the Golan Heights or Golan Sub-District and also East Jerusalem, which was annexed by Israel after 1967) (July 2018 est.) |
| Population: | note: approximately 22,000 Israeli settlers live in the Golan Heights (2016); approximately 201,000 Israeli settlers live in East Jerusalem (2014) |
| Nationality: | noun: Israeli(s) |
| Nationality: | adjective: Israeli |
| Ethnic groups: | Jewish 74.4% (of which Israel-born 76.9%, Europe/America/Oceania-born 15.9%, Africa-born 4.6%, Asia-born 2.6%), Arab 20.9%, other 4.7% (2018 est.) |
| Languages: | Hebrew (official), Arabic (used officially for Arab minority), English (most commonly used foreign language) |
| Religions: | Jewish 74.7%, Muslim 17.7%, Christian 2%, Druze 1.6%, other 4% (2016 est.) |
| Age structure: | 0-14 years: 27.26% (male 1,175,106 /female 1,121,309) |
| Age structure: | 15-24 years: 15.58% (male 670,121 /female 642,155) |
| Age structure: | 25-54 years: 37.19% (male 1,601,516 /female 1,531,849) |
| Age structure: | 55-64 years: 8.42% (male 350,050 /female 359,578) |
| Age structure: | 65 years and over: 11.55% (male 437,511 /female 535,709) (2018 est.) |
| Dependency ratios: | total dependency ratio: 64.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 45.7 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 18.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 5.4 (2015 est.) |
| Median age: | total: 30.1 years |
| Median age: | male: 29.5 years |
| Median age: | female: 30.7 years (2018 est.) |
| Population growth rate: | 1.49% (2018 est.) |
| Birth rate: | 17.9 births/1,000 population (2018 est.) |
| Death rate: | 5.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 92.4% of total population (2018) |
| Urbanization: | rate of urbanization: 1.64% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 4.011 million Tel Aviv-Yafo, 1.135 million Haifa, 907,000 JERUSALEM (proclaimed capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.96 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.81 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 27.6 years (2015 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 3.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 3.4 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 82.7 years (2018 est.) |
| Life expectancy at birth: | male: 80.8 years (2018 est.) |
| Life expectancy at birth: | female: 84.7 years (2018 est.) |
| Total fertility rate: | 2.63 children born/woman (2018 est.) |
| Health expenditures: | 7.8% of GDP (2014) |
| Physicians density: | 3.58 physicians/1,000 population (2015) |
| Hospital bed density: | 3.1 beds/1,000 population (2013) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | rural: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 26.1% (2016) |
| Education expenditures: | 5.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write (2011 est.) |
| Literacy: | total population: 97.8% (2011 est.) |
| Literacy: | male: 98.7% (2011 est.) |
| Literacy: | female: 96.8% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years (2014) |
| School life expectancy (primary to tertiary education): | male: 16 years (2014) |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 7.3% (2017 est.) |
| Unemployment, youth ages 15-24: | male: 6.7% (2017 est.) |
| Unemployment, youth ages 15-24: | female: 7.8% (2017 est.) |
