| People and Society | ISRAEL |
| --- | --- |
| Population: | 8,174,527 (includes populations of the Golan Heights of Golan Sub-District and also East Jerusalem, which was annexed by Israel after 1967) (July 2016 est.) |
| Population: | note: approximately 20,500 Israeli settlers live in the Golan Heights; approximately 211,640 Israeli settlers live in East Jerusalem (2014) |
| Nationality: | noun: Israeli(s) |
| Nationality: | adjective: Israeli |
| Ethnic groups: | Jewish 74.8% (of which Israel-born 75.6%, Europe/America/Oceania-born 16.6%, Africa-born 4.9%, Asia-born 2.9%), non-Jewish 25.2% (mostly Arab) (2015 est.) |
| Languages: | Hebrew (official), Arabic (used officially for Arab minority), English (most commonly used foreign language) |
| Religions: | Jewish 74.8%, Muslim 17.6%, Christian 2%, Druze 1.6%, other 4% (2015 est.) |
| Age structure: | 0-14 years: 27.73% (male 1,159,980/female 1,106,946) |
| Age structure: | 15-24 years: 15.52% (male 648,199/female 620,218) |
| Age structure: | 25-54 years: 37.15% (male 1,552,754/female 1,484,059) |
| Age structure: | 55-64 years: 8.51% (male 340,601/female 355,382) |
| Age structure: | 65 years and over: 11.09% (male 405,511/female 500,877) (2016 est.) |
| Dependency ratios: | total dependency ratio: 64.1% |
| Dependency ratios: | youth dependency ratio: 45.7% |
| Dependency ratios: | elderly dependency ratio: 18.4% |
| Dependency ratios: | potential support ratio: 5.4% (2015 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 29.1 years |
| Median age: | female: 30.4 years (2016 est.) |
| Population growth rate: | 1.53% (2016 est.) |
| Birth rate: | 18.3 births/1,000 population (2016 est.) |
| Death rate: | 5.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | 2.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 92.1% of total population (2015) |
| Urbanization: | rate of urbanization: 1.37% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Tel Aviv-Yafo 3.608 million; Haifa 1.097 million; JERUSALEM (proclaimed capital) 839,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.3 (2011 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.5 deaths/1,000 live births |
| Infant mortality rate: | male: 3.5 deaths/1,000 live births |
| Infant mortality rate: | female: 3.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 82.4 years |
| Life expectancy at birth: | male: 80.6 years |
| Life expectancy at birth: | female: 84.4 years (2016 est.) |
| Total fertility rate: | 2.66 children born/woman (2016 est.) |
| Health expenditures: | 7.8% of GDP (2014) |
| Physicians density: | 3.34 physicians/1,000 population (2012) |
| Hospital bed density: | 3.3 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 25.8% (2014) |
| Education expenditures: | 5.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 98.7% |
| Literacy: | female: 96.8% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 10.6% |
| Unemployment, youth ages 15-24: | male: 10.1% |
| Unemployment, youth ages 15-24: | female: 11.1% (2014 est.) |
