| People and Society | Israel |
| --- | --- |
| Population: | 8,675,475 (includes populations of the Golan Heights or Golan Sub-District and also East Jerusalem, which was annexed by Israel after 1967) (July 2020 est.) |
| Population: | note: approximately 22,900 Israeli settlers live in the Golan Heights (2018); approximately 215,900 Israeli settlers live in East Jerusalem (2017) |
| Nationality: | noun: Israeli(s) |
| Nationality: | adjective: Israeli |
| Ethnic groups: | Jewish 74.4% (of which Israel-born 76.9%, Europe/America/Oceania-born 15.9%, Africa-born 4.6%, Asia-born 2.6%), Arab 20.9%, other 4.7% (2018 est.) |
| Languages: | Hebrew (official), Arabic (special status under Israeli law), English (most commonly used foreign language) |
| Religions: | Jewish 74.3%, Muslim 17.8%, Christian 1.9%, Druze 1.6%, other 4.4% (2018 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 26.76% (male 1,187,819/female 1,133,365) |
| Age structure: | 15-24 years: 15.67% (male 694,142/female 665,721) |
| Age structure: | 25-54 years: 37.2% (male 1,648,262/female 1,579,399) |
| Age structure: | 55-64 years: 8.4% (male 363,262/female 365,709) |
| Age structure: | 65 years and over: 11.96% (male 467,980/female 569,816) (2020 est.) |
| Dependency ratios: | total dependency ratio: 67.3 |
| Dependency ratios: | youth dependency ratio: 46.6 |
| Dependency ratios: | elderly dependency ratio: 20.8 |
| Dependency ratios: | potential support ratio: 4.8 (2020 est.) |
| Median age: | total: 30.4 years |
| Median age: | male: 29.8 years |
| Median age: | female: 31 years (2020 est.) |
| Population growth rate: | 1.46% (2020 est.) |
| Birth rate: | 17.6 births/1,000 population (2020 est.) |
| Death rate: | 5.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 2.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated in and around Tel-Aviv, as well as around the Sea of Galilee; the south remains sparsely populated with the exception of the shore of the Gulf of Aqaba |
| Urbanization: | urban population: 92.6% of total population (2020) |
| Urbanization: | rate of urbanization: 1.64% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 4.181 million Tel Aviv-Yafo, 1.147 million Haifa, 932,000 JERUSALEM (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 27.6 years (2017 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.3 deaths/1,000 live births |
| Infant mortality rate: | male: 3.3 deaths/1,000 live births |
| Infant mortality rate: | female: 3.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 83 years |
| Life expectancy at birth: | male: 81.1 years |
| Life expectancy at birth: | female: 85 years (2020 est.) |
| Total fertility rate: | 2.59 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 7.4% (2017) |
| Physicians density: | 3.48 physicians/1,000 population (2017) |
| Hospital bed density: | 3 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 9,000 (2018) |
| HIV/AIDS - deaths: | <100 (2018) |
| Obesity - adult prevalence rate: | 26.1% (2016) |
| Education expenditures: | 6.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 98.7% |
| Literacy: | female: 96.8% (2011) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2018) |
| Unemployment, youth ages 15-24: | total: 7.2% |
| Unemployment, youth ages 15-24: | male: 6.9% |
| Unemployment, youth ages 15-24: | female: 7.4% (2018 est.) |
