| People and Society | ANGOLA |
| --- | --- |
| Nationality: | noun: Angolan(s) |
| Nationality: | adjective: Angolan |
| Ethnic groups: | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22% |
| Languages: | Portuguese (official), Bantu and other African languages |
| Religions: | indigenous beliefs 47%, Roman Catholic 38%, Protestant 15% (1998 est.) |
| Population: | 19,625,353 |
| Population: | note: preliminary results from Angola's 2014 national census estimate the country's population to be 24.3 million (July 2015 est.) |
| Age structure: | 0-14 years: 42.95% (male 4,297,988/female 4,131,037) |
| Age structure: | 15-24 years: 20.65% (male 2,061,704/female 1,990,206) |
| Age structure: | 25-54 years: 29.46% (male 2,916,132/female 2,865,417) |
| Age structure: | 55-64 years: 3.98% (male 379,531/female 401,563) |
| Age structure: | 65 years and over: 2.96% (male 269,164/female 312,611) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 99.9% |
| population pyramid: | youth dependency ratio: 95.2% |
| population pyramid: | elderly dependency ratio: 4.6% |
| population pyramid: | potential support ratio: 21.6% (2015 est.) |
| Median age: | total: 18 years |
| Median age: | male: 17.8 years |
| Median age: | female: 18.2 years (2015 est.) |
| Population growth rate: | 2.78% (2015 est.) |
| Birth rate: | 38.78 births/1,000 population (2015 est.) |
| Death rate: | 11.49 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0.46 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 44% of total population (2015) |
| Urbanization: | rate of urbanization: 4.97% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LUANDA (capital) 5.506 million; Huambo 1.269 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2015 est.) |
| Maternal mortality rate: | 477 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 78.26 deaths/1,000 live births |
| Infant mortality rate: | male: 81.96 deaths/1,000 live births |
| Infant mortality rate: | female: 74.38 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 55.63 years |
| Life expectancy at birth: | male: 54.49 years |
| Life expectancy at birth: | female: 56.84 years (2015 est.) |
| Total fertility rate: | 5.37 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 17.7% (2008/09) |
| Health expenditures: | 3.8% of GDP (2013) |
| Physicians density: | 0.17 physicians/1,000 population (2009) |
| Hospital bed density: | 0.8 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 75.4% of population |
| Drinking water source: | rural: 28.2% of population |
| Drinking water source: | total: 49% of population |
| unimproved: | urban: 24.6% of population |
| unimproved: | rural: 71.8% of population |
| unimproved: | total: 51% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.6% of population |
| Sanitation facility access: | rural: 22.5% of population |
| Sanitation facility access: | total: 51.6% of population |
| unimproved: | urban: 11.4% of population |
| unimproved: | rural: 77.5% of population |
| unimproved: | total: 48.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.41% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 304,400 (2014 est.) |
| HIV/AIDS - deaths: | 11,770 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 8.5% (2014) |
| Children under the age of 5 years underweight: | 15.6% (2007) |
| Education expenditures: | 3.5% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.1% |
| Literacy: | male: 82% |
| Literacy: | female: 60.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2011) |
| Child labor - children ages 5-14: | total number: 832,895 |
| Child labor - children ages 5-14: | percentage: 24% (2001 est.) |
