| People and Society | Angola |
| --- | --- |
| Population: | 30,355,880 (July 2018 est.) |
| Population: | note: Angola's national statistical agency projects the country's 2017 population to be 28.4 million |
| Nationality: | noun: Angolan(s) |
| Nationality: | adjective: Angolan |
| Ethnic groups: | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22% |
| Languages: | Portuguese 71.2% (official), Umbundu 23%, Kikongo 8.2%, Kimbundu 7.8%, Chokwe 6.5%, Nhaneca 3.4%, Nganguela 3.1%, Fiote 2.4%, Kwanhama 2.3%, Muhumbi 2.1%, Luvale 1%, other 3.6% (2014 est.) |
| Languages: | note: most widely spoken languages; shares sum to more than 100% because some respondents gave more than one answer on the census |
| Religions: | Roman Catholic 41.1%, Protestant 38.1%, other 8.6%, none 12.3% (2014 est.) |
| Demographic profile: | More than a decade after the end of Angola's 27-year civil war, the country still faces a variety of socioeconomic problems, including poverty, high maternal and child mortality, and illiteracy. Despite the country's rapid post-war economic growth based on oil production, about 40 percent of Angolans live below the poverty line and unemployment is widespread, especially among the large young-adult population. Only about 70% of the population is literate, and the rate drops to around 60% for women. The youthful population - about 45% are under the age of 15 - is expected to continue growing rapidly with a fertility rate of more than 5 children per woman and a low rate of contraceptive use. Fewer than half of women deliver their babies with the assistance of trained health care personnel, which contributes to Angola's high maternal mortality rate. |
| Demographic profile: | Of the estimated 550,000 Angolans who fled their homeland during its civil war, most have returned home since 2002. In 2012, the UN assessed that conditions in Angola had been stable for several years and invoked a cessation of refugee status for Angolans. Following the cessation clause, some of those still in exile returned home voluntarily through UN repatriation programs, and others integrated into host countries. |
| Age structure: | 0-14 years: 48.07% (male 7,257,155 /female 7,336,084) |
| Age structure: | 15-24 years: 18.33% (male 2,701,123 /female 2,863,950) |
| Age structure: | 25-54 years: 27.95% (male 4,044,944 /female 4,441,028) |
| Age structure: | 55-64 years: 3.32% (male 466,085 /female 540,452) |
| Age structure: | 65 years and over: 2.32% (male 296,411 /female 408,648) (2018 est.) |
| Dependency ratios: | total dependency ratio: 97.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 93 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 4.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 21.9 (2015 est.) |
| Median age: | total: 15.9 years (2018 est.) |
| Median age: | male: 15.4 years |
| Median age: | female: 16.3 years |
| Population growth rate: | 3.49% (2018 est.) |
| Birth rate: | 43.7 births/1,000 population (2018 est.) |
| Death rate: | 9 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most people live in the western half of the country; urban areas account for the highest concentrations of people, particularly the capital of Luanda |
| Urbanization: | urban population: 66.2% of total population (2019) |
| Urbanization: | rate of urbanization: 4.32% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 8.045 million LUANDA (capital), 787,000 Lubango (2019) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.91 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 19.4 years (2015/16 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 241 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 65.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 71.4 deaths/1,000 live births |
| Infant mortality rate: | female: 60.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 60.6 years (2018 est.) |
| Life expectancy at birth: | male: 58.5 years |
| Life expectancy at birth: | female: 62.7 years |
| Total fertility rate: | 6.09 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 13.7% (2015/16) |
| Drinking water source: | improved: urban: 75.4% of population |
| Drinking water source: | rural: 28.2% of population |
| Drinking water source: | total: 49% of population |
| Drinking water source: | unimproved: urban: 24.6% of population |
| Drinking water source: | rural: 71.8% of population |
| Drinking water source: | total: 51% of population (2015 est.) |
| Current Health Expenditure: | 2.9% (2016) |
| Physicians density: | 0.21 physicians/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 88.6% of population (2015 est.) |
| Sanitation facility access: | rural: 22.5% of population (2015 est.) |
| Sanitation facility access: | total: 51.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 11.4% of population (2015 est.) |
| Sanitation facility access: | rural: 77.5% of population (2015 est.) |
| Sanitation facility access: | total: 48.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 330,000 (2018 est.) |
| HIV/AIDS - deaths: | 14,000 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2019) |
