| People | Angola |
| --- | --- |
| Population: | 12,263,596 (July 2007 est.) |
| Age structure: | 0-14 years: 43.7% (male 2,706,276/female 2,654,338) |
| Age structure: | 15-64 years: 53.5% (male 3,339,114/female 3,225,121) |
| Age structure: | 65 years and over: 2.8% (male 149,414/female 189,333) (2007 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.9 years |
| Median age: | female: 17.9 years (2007 est.) |
| Population growth rate: | 2.184% (2007 est.) |
| Birth rate: | 44.51 births/1,000 population (2007 est.) |
| Death rate: | 24.81 deaths/1,000 population (2007 est.) |
| Net migration rate: | 2.14 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 1.035 male(s)/female |
| Sex ratio: | 65 years and over: 0.789 male(s)/female |
| Sex ratio: | total population: 1.021 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 184.44 deaths/1,000 live births |
| Infant mortality rate: | male: 196.55 deaths/1,000 live births |
| Infant mortality rate: | female: 171.72 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 37.63 years |
| Life expectancy at birth: | male: 36.73 years |
| Life expectancy at birth: | female: 38.57 years (2007 est.) |
| Total fertility rate: | 6.27 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 3.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 240,000 (2003 est.) |
| HIV/AIDS - deaths: | 21,000 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, African trypanosomiasis (sleeping sickness) are high risks in some locations |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | water contact disease: schistosomiasis (2007) |
| Nationality: | noun: Angolan(s) |
| Nationality: | adjective: Angolan |
| Ethnic groups: | Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22% |
| Religions: | indigenous beliefs 47%, Roman Catholic 38%, Protestant 15% (1998 est.) |
| Languages: | Portuguese (official), Bantu and other African languages |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.4% |
| Literacy: | male: 82.9% |
| Literacy: | female: 54.2% (2001 est.) |
