| People and Society | MALAWI |
| --- | --- |
| Nationality: | noun: Malawian(s) |
| Nationality: | adjective: Malawian |
| Ethnic groups: | Chewa 32.6%, Lomwe 17.6%, Yao 13.5%, Ngoni 11.5%, Tumbuka 8.8%, Nyanja 5.8%, Sena 3.6%, Tonga 2.1%, Ngonde 1%, other 3.5% |
| Languages: | English (official), Chichewa (common), Chinyanja, Chiyao, Chitumbuka, Chilomwe, Chinkhonde, Chingoni, Chisena, Chitonga, Chinyakyusa, Chilambya |
| Religions: | Christian 82.6%, Muslim 13%, other 1.9%, none 2.5% (2008 est.) |
| Population: | 17,964,697 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 46.73% (male 4,175,706/female 4,218,955) |
| Age structure: | 15-24 years: 20.38% (male 1,820,047/female 1,841,331) |
| Age structure: | 25-54 years: 27.14% (male 2,418,126/female 2,457,419) |
| Age structure: | 55-64 years: 3.06% (male 262,067/female 287,637) |
| Age structure: | 65 years and over: 2.69% (male 213,735/female 269,674) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.5% |
| population pyramid: | youth dependency ratio: 87.9% |
| population pyramid: | elderly dependency ratio: 6.7% |
| population pyramid: | potential support ratio: 14.9% (2015 est.) |
| Median age: | total: 16.4 years |
| Median age: | male: 16.3 years |
| Median age: | female: 16.5 years (2015 est.) |
| Population growth rate: | 3.32% (2015 est.) |
| Birth rate: | 41.56 births/1,000 population (2015 est.) |
| Death rate: | 8.41 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 16.3% of total population (2015) |
| Urbanization: | rate of urbanization: 3.77% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LILONGWE (capital) 905,000; Blantyre-Limbe 808,000 (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 46.26 deaths/1,000 live births |
| Infant mortality rate: | male: 53.07 deaths/1,000 live births |
| Infant mortality rate: | female: 39.35 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 60.66 years |
| Life expectancy at birth: | male: 58.67 years |
| Life expectancy at birth: | female: 62.69 years (2015 est.) |
| Total fertility rate: | 5.6 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 46.1% (2010) |
| Health expenditures: | 8.3% of GDP (2013) |
| Physicians density: | 0.02 physicians/1,000 population (2009) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.7% of population |
| Drinking water source: | rural: 89.1% of population |
| Drinking water source: | total: 90.2% of population |
| unimproved: | urban: 4.3% of population |
| unimproved: | rural: 10.9% of population |
| unimproved: | total: 9.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 47.3% of population |
| Sanitation facility access: | rural: 39.8% of population |
| Sanitation facility access: | total: 41% of population |
| unimproved: | urban: 52.7% of population |
| unimproved: | rural: 60.2% of population |
| unimproved: | total: 59% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 10.04% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,063,900 (2014 est.) |
| HIV/AIDS - deaths: | 32,600 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.3% (2014) |
| Children under the age of 5 years underweight: | 13.8% (2010) |
| Education expenditures: | 5.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 65.8% |
| Literacy: | male: 73% |
| Literacy: | female: 58.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Child labor - children ages 5-14: | total number: 993,318 |
| Child labor - children ages 5-14: | percentage: 26% (2006 est.) |
