| People | Malawi |
| --- | --- |
| Population: | 15,447,500 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 45.4% (male 3,419,711/female 3,404,726) |
| Age structure: | 15-64 years: 51.9% (male 3,889,065/female 3,915,309) |
| Age structure: | 65 years and over: 2.7% (male 172,679/female 227,267) (2010 est.) |
| Median age: | total: 17.1 years |
| Median age: | male: 17 years |
| Median age: | female: 17.3 years (2010 est.) |
| Population growth rate: | 2.758% (2010 est.) |
| Birth rate: | 41.28 births/1,000 population (2010 est.) |
| Death rate: | 13.69 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 19% of total population (2008) |
| Urbanization: | rate of urbanization: 5.2% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.015 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 83.5 deaths/1,000 live births |
| Infant mortality rate: | male: 87.6 deaths/1,000 live births |
| Infant mortality rate: | female: 79.34 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 50.92 years |
| Life expectancy at birth: | male: 50.22 years |
| Life expectancy at birth: | female: 51.64 years (2010 est.) |
| Total fertility rate: | 5.51 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 11.9% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 930,000 (2007 est.) |
| HIV/AIDS - deaths: | 68,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and plague |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Malawian(s) |
| Nationality: | adjective: Malawian |
| Ethnic groups: | Chewa, Nyanja, Tumbuka, Yao, Lomwe, Sena, Tonga, Ngoni, Ngonde, Asian, European |
| Religions: | Christian 79.9%, Muslim 12.8%, other 3%, none 4.3% (1998 census) |
| Languages: | Chichewa 57.2% (official), Chinyanja 12.8%, Chiyao 10.1%, Chitumbuka 9.5%, Chisena 2.7%, Chilomwe 2.4%, Chitonga 1.7%, other 3.6% (1998 census) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 62.7% |
| Literacy: | male: 76.1% |
| Literacy: | female: 49.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2007) |
| Education expenditures: | 4.2% of GDP (2003) |
