| People and Society | BELARUS |
| --- | --- |
| Population: | 9,570,376 (July 2016 est.) |
| Nationality: | noun: Belarusian(s) |
| Nationality: | adjective: Belarusian |
| Ethnic groups: | Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 2.4%, unspecified 0.9% (2009 est.) |
| Languages: | Russian (official) 70.2%, Belarusian (official) 23.4%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.) |
| Religions: | Orthodox 48.3%, Catholic 7.1%, other 3.5%, non-believers 41.1% (2011 est.) |
| Age structure: | 0-14 years: 15.65% (male 770,014/female 727,338) |
| Age structure: | 15-24 years: 10.68% (male 525,704/female 496,414) |
| Age structure: | 25-54 years: 45.04% (male 2,118,447/female 2,191,694) |
| Age structure: | 55-64 years: 13.95% (male 589,288/female 745,815) |
| Age structure: | 65 years and over: 14.69% (male 448,135/female 957,527) (2016 est.) |
| Dependency ratios: | total dependency ratio: 43% |
| Dependency ratios: | youth dependency ratio: 23% |
| Dependency ratios: | elderly dependency ratio: 20% |
| Dependency ratios: | potential support ratio: 5% (2015 est.) |
| Median age: | total: 39.8 years |
| Median age: | male: 36.8 years |
| Median age: | female: 42.9 years (2016 est.) |
| Population growth rate: | -0.21% (2016 est.) |
| Birth rate: | 10.5 births/1,000 population (2016 est.) |
| Death rate: | 13.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0.7 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 76.7% of total population (2015) |
| Urbanization: | rate of urbanization: 0.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MINSK (capital) 1.915 million (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.46 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 25.4 (2013 est.) |
| Maternal mortality rate: | 4 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births |
| Infant mortality rate: | male: 4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 72.7 years |
| Life expectancy at birth: | male: 67.2 years |
| Life expectancy at birth: | female: 78.6 years (2016 est.) |
| Total fertility rate: | 1.48 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 63.1% (2012) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 3.93 physicians/1,000 population (2013) |
| Hospital bed density: | 11.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.1% of population |
| Drinking water source: | total: 99.7% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.9% of population |
| unimproved: | total: 0.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 94.1% of population |
| Sanitation facility access: | rural: 95.2% of population |
| Sanitation facility access: | total: 94.3% of population |
| unimproved: | urban: 5.9% of population |
| unimproved: | rural: 4.8% of population |
| unimproved: | total: 5.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.64% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 35,200 (2015 est.) |
| HIV/AIDS - deaths: | 1,000 (2015 est.) |
| Obesity - adult prevalence rate: | 25.2% (2014) |
| Children under the age of 5 years underweight: | 1.3% (2005) |
| Education expenditures: | 5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Child labor - children ages 5-14: | total number: 54,218 |
| Child labor - children ages 5-14: | percentage: 5% (2005 est.) |
| Unemployment, youth ages 15-24: | total: 12.5% |
| Unemployment, youth ages 15-24: | male: 12.4% |
| Unemployment, youth ages 15-24: | female: 12.6% (2009 est.) |
