| People and Society | Belarus |
| --- | --- |
| Population: | 9,527,543 (July 2018 est.) |
| Nationality: | noun: Belarusian(s) |
| Nationality: | adjective: Belarusian |
| Ethnic groups: | Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 2.4%, unspecified 0.9% (2009 est.) |
| Languages: | Russian (official) 70.2%, Belarusian (official) 23.4%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.) |
| Religions: | Orthodox 48.3%, Catholic 7.1%, other 3.5%, non-believers 41.1% (2011 est.) |
| Age structure: | 0-14 years: 15.91% (male 779,577 /female 736,481) |
| Age structure: | 15-24 years: 9.96% (male 488,240 /female 460,673) |
| Age structure: | 25-54 years: 44.49% (male 2,089,202 /female 2,149,486) |
| Age structure: | 55-64 years: 14.42% (male 607,368 /female 766,238) |
| Age structure: | 65 years and over: 15.22% (male 467,299 /female 982,979) (2018 est.) |
| Dependency ratios: | total dependency ratio: 43.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 23.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 20.6 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.9 (2015 est.) |
| Median age: | total: 40.3 years (2018 est.) |
| Median age: | male: 37.4 years |
| Median age: | female: 43.3 years |
| Population growth rate: | -0.24% (2018 est.) |
| Birth rate: | 10 births/1,000 population (2018 est.) |
| Death rate: | 13.2 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.7 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 79% of total population (2019) |
| Urbanization: | rate of urbanization: 0.44% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.017 million MINSK (capital) (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.79 male(s)/female |
| Sex ratio: | 65 years and over: 0.48 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 25.7 years (2014 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 3.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births |
| Life expectancy at birth: | total population: 73.2 years (2018 est.) |
| Life expectancy at birth: | male: 67.8 years |
| Life expectancy at birth: | female: 79 years |
| Total fertility rate: | 1.49 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 72.1% (2017) |
| Contraceptive prevalence rate: | note:Â  percent of women 18-49 |
| Drinking water source: | improved: urban: 99.9% of population |
| Drinking water source: | rural: 99.1% of population |
| Drinking water source: | total: 99.7% of population |
| Drinking water source: | unimproved: urban: 0.1% of population |
| Drinking water source: | rural: 0.9% of population |
| Drinking water source: | total: 0.3% of population (2015 est.) |
| Current Health Expenditure: | 6.3% (2016) |
| Physicians density: | 4.08 physicians/1,000 population (2014) |
| Hospital bed density: | 11 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 94.1% of population (2015 est.) |
| Sanitation facility access: | rural: 95.2% of population (2015 est.) |
| Sanitation facility access: | total: 94.3% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 5.9% of population (2015 est.) |
| Sanitation facility access: | rural: 4.8% of population (2015 est.) |
| Sanitation facility access: | total: 5.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 27,000 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Obesity - adult prevalence rate: | 24.5% (2016) |
| Education expenditures: | 4.8% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2017) |
| Unemployment, youth ages 15-24: | total: 9.3% |
| Unemployment, youth ages 15-24: | male: 11.2% |
| Unemployment, youth ages 15-24: | female: 7.2% (2017 est.) |
