| People and Society | Palau |
| --- | --- |
| Nationality: | noun: Palauan(s) |
| Nationality: | adjective: Palauan |
| Ethnic groups: | Palauan (Micronesian with Malayan and Melanesian admixtures) 69.9%, Filipino 15.3%, Chinese 4.9%, other Asian 2.4%, white 1.9%, Carolinian 1.4%, other Micronesian 1.1%, other or unspecified 3.2% (2000 census) |
| Languages: | Palauan (official on most islands) 64.7%, Filipino 13.5%, English (official) 9.4%, Chinese 5.7%, Carolinian 1.5%, Japanese 1.5%, other Asian 2.3%, other languages 1.5% (2000 census) |
| Languages: | note: Sonsoral (Sonsoralese and English are official), Tobi (Tobi and English are official), and Angaur (Angaur, Japanese, and English are official) |
| Religions: | Roman Catholic 41.6%, Protestant 23.3%, Modekngei 8.8% (indigenous to Palau), Seventh-Day Adventist 5.3%, Jehovah's Witnesses 0.9%, Mormon 0.6%, other 3.1%, unspecified or none 16.4% (2000 census) |
| Population: | 21,108 (July 2013 est.) |
| Age structure: | 0-14 years: 20.7% (male 2,250/female 2,110) |
| Age structure: | 15-24 years: 17.6% (male 1,849/female 1,875) |
| Age structure: | 25-54 years: 46.6% (male 5,981/female 3,854) |
| Age structure: | 55-64 years: 8.3% (male 615/female 1,129) |
| Age structure: | 65 years and over: 6.8% (male 407/female 1,038) (2013 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 32.9 years |
| population pyramid: | male: 32.5 years |
| population pyramid: | female: 33.9 years (2013 est.) |
| Population growth rate: | 0.37% (2013 est.) |
| Birth rate: | 10.9 births/1,000 population (2013 est.) |
| Death rate: | 7.86 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0.66 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 83% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1.55 male(s)/female |
| Sex ratio: | 55-64 years: 0.55 male(s)/female |
| Sex ratio: | 65 years and over: 0.4 male(s)/female |
| Sex ratio: | total population: 1.12 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 11.77 deaths/1,000 live births |
| Infant mortality rate: | male: 13.35 deaths/1,000 live births |
| Infant mortality rate: | female: 10.1 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 72.33 years |
| Life expectancy at birth: | male: 69.17 years |
| Life expectancy at birth: | female: 75.68 years (2013 est.) |
| Total fertility rate: | 1.72 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 32.8% |
| Contraceptive prevalence rate: | note: percent of women aged 15-44 (2003) |
| Health expenditures: | 10.6% of GDP (2011) |
| Physicians density: | 1.38 physicians/1,000 population (2010) |
| Hospital bed density: | 4.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 83% of population |
| Drinking water source: | rural: 96% of population |
| Drinking water source: | total: 85% of population |
| unimproved: | urban: 17% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 15% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 100% of population |
| unimproved: | rural: 100% of population |
| unimproved: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 48.9% (2008) |
| Education expenditures: | 10.3% of GDP (2002) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92% |
| Literacy: | male: 93% |
| Literacy: | female: 90% (1980 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2001) |
