| People and Society | GREENLAND |
| --- | --- |
| Population: | 57,713 (July 2017 est.) |
| Nationality: | noun: Greenlander(s) |
| Nationality: | adjective: Greenlandic |
| Ethnic groups: | Inuit 88%, Danish and other 12% (2010 est.) |
| Languages: | Greenlandic (East Inuit) (official), Danish (official), English |
| Religions: | Evangelical Lutheran, traditional Inuit spiritual beliefs |
| Age structure: | 0-14 years: 21.11% (male 6,195/female 5,986) |
| Age structure: | 15-24 years: 15.48% (male 4,506/female 4,429) |
| Age structure: | 25-54 years: 41.21% (male 12,473/female 11,309) |
| Age structure: | 55-64 years: 12.96% (male 4,112/female 3,370) |
| Age structure: | 65 years and over: 9.24% (male 2,862/female 2,471) (2017 est.) |
| Median age: | total: 33.9 years |
| Median age: | male: 35 years |
| Median age: | female: 32.7 years (2017 est.) |
| Population growth rate: | -0.03% (2017 est.) |
| Birth rate: | 14.4 births/1,000 population (2017 est.) |
| Death rate: | 8.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | -6 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | settlement concentrated on the southwest shoreline, with limited settlements scattered along the remaining coast; interior is uninhabited |
| Urbanization: | urban population: 87.2% of total population (2017) |
| Urbanization: | rate of urbanization: 0.27% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NUUK (capital) 17,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1.26 male(s)/female |
| Sex ratio: | 65 years and over: 1.15 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 8.9 deaths/1,000 live births |
| Infant mortality rate: | male: 10.1 deaths/1,000 live births |
| Infant mortality rate: | female: 7.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 72.6 years |
| Life expectancy at birth: | male: 69.9 years |
| Life expectancy at birth: | female: 75.5 years (2017 est.) |
| Total fertility rate: | 1.99 children born/woman (2017 est.) |
| Physicians density: | 1.73 physicians/1,000 population (2014) |
| Hospital bed density: | 8.2 beds/1,000 population (2014) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2015 est.) |
