| People and Society | GREENLAND |
| --- | --- |
| Population: | 57,728 (July 2016 est.) |
| Nationality: | noun: Greenlander(s) |
| Nationality: | adjective: Greenlandic |
| Ethnic groups: | Inuit 88%, Danish and other 12% (2010 est.) |
| Languages: | Greenlandic (East Inuit) (official), Danish (official), English |
| Religions: | Evangelical Lutheran, traditional Inuit spiritual beliefs |
| Age structure: | 0-14 years: 21.26% (male 6,237/female 6,034) |
| Age structure: | 15-24 years: 15.81% (male 4,612/female 4,514) |
| Age structure: | 25-54 years: 41.6% (male 12,597/female 11,416) |
| Age structure: | 55-64 years: 12.43% (male 4,001/female 3,177) |
| Age structure: | 65 years and over: 8.9% (male 2,754/female 2,386) (2016 est.) |
| Median age: | total: 33.8 years |
| Median age: | male: 35 years |
| Median age: | female: 32.6 years (2016 est.) |
| Population growth rate: | -0.02% (2016 est.) |
| Birth rate: | 14.4 births/1,000 population (2016 est.) |
| Death rate: | 8.6 deaths/1,000 population (2016 est.) |
| Net migration rate: | -6 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | settlement concentrated on the southwest shoreline, with limited settlements scattered along the remaining coast; interior is uninhabited |
| Urbanization: | urban population: 86.4% of total population (2015) |
| Urbanization: | rate of urbanization: 0.74% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NUUK (capital) 17,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.1 male(s)/female |
| Sex ratio: | 55-64 years: 1.26 male(s)/female |
| Sex ratio: | 65 years and over: 1.15 male(s)/female |
| Sex ratio: | total population: 1.1 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 9 deaths/1,000 live births |
| Infant mortality rate: | male: 10.3 deaths/1,000 live births |
| Infant mortality rate: | female: 7.7 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 72.4 years |
| Life expectancy at birth: | male: 69.7 years |
| Life expectancy at birth: | female: 75.2 years (2016 est.) |
| Total fertility rate: | 2.01 children born/woman (2016 est.) |
| Physicians density: | 1.67 physicians/1,000 population (2009) |
| Hospital bed density: | 5.8 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
