| People and Society | Honduras |
| --- | --- |
| Population: | 9,235,340 (July 2020 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Honduran(s) |
| Nationality: | adjective: Honduran |
| Ethnic groups: | Mestizo (mixed Amerindian and European) 90%, Amerindian 7%, Black 2%, White 1% |
| Languages: | Spanish (official), Amerindian dialects |
| Religions: | Roman Catholic 46%, Protestant 41%, atheist 1%, other 2%, none 9% (2014 est.) |
| Demographic profile: | Honduras is one of the poorest countries in Latin America and has one of the world's highest murder rates. More than half of the population lives in poverty and per capita income is one of the lowest in the region. Poverty rates are higher among rural and indigenous people and in the south, west, and along the eastern border than in the north and central areas where most of Honduras' industries and infrastructure are concentrated. The increased productivity needed to break Honduras' persistent high poverty rate depends, in part, on further improvements in educational attainment. Although primary-school enrollment is near 100%, educational quality is poor, the drop-out rate and grade repetition remain high, and teacher and school accountability is low. |
| Demographic profile: | Honduras' population growth rate has slowed since the 1990s, but it remains high at nearly 2% annually because the birth rate averages approximately three children per woman and more among rural, indigenous, and poor women. Consequently, Honduras' young adult population - ages 15 to 29 - is projected to continue growing rapidly for the next three decades and then stabilize or slowly shrink. Population growth and limited job prospects outside of agriculture will continue to drive emigration. Remittances represent about a fifth of GDP. |
| Age structure: | 0-14 years: 30.2% (male 1,411,537/female 1,377,319) |
| Age structure: | 15-24 years: 21.03% (male 969,302/female 972,843) |
| Age structure: | 25-54 years: 37.79% (male 1,657,260/female 1,832,780) |
| Age structure: | 55-64 years: 5.58% (male 233,735/female 281,525) |
| Age structure: | 65 years and over: 5.4% (male 221,779/female 277,260) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.2 |
| Dependency ratios: | youth dependency ratio: 47.5 |
| Dependency ratios: | elderly dependency ratio: 7.7 |
| Dependency ratios: | potential support ratio: 13 (2020 est.) |
| Median age: | total: 24.4 years |
| Median age: | male: 23.5 years |
| Median age: | female: 25.2 years (2020 est.) |
| Population growth rate: | 1.27% (2020 est.) |
| Birth rate: | 18.5 births/1,000 population (2020 est.) |
| Death rate: | 4.7 deaths/1,000 population (2020 est.) |
