| People and Society | Honduras |
| --- | --- |
| Population: | 9,182,766 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Honduran(s) |
| Nationality: | adjective: Honduran |
| Ethnic groups: | mestizo (mixed Amerindian and European) 90%, Amerindian 7%, black 2%, white 1% |
| Languages: | Spanish (official), Amerindian dialects |
| Religions: | Roman Catholic 46%, Protestant 41%, atheist 1%, other 2%, none 9% (2014 est.) |
| Demographic profile: | Honduras is one of the poorest countries in Latin America and has one of the world's highest murder rates. More than half of the population lives in poverty and per capita income is one of the lowest in the region. Poverty rates are higher among rural and indigenous people and in the south, west, and along the eastern border than in the north and central areas where most of Honduras' industries and infrastructure are concentrated. The increased productivity needed to break Honduras' persistent high poverty rate depends, in part, on further improvements in educational attainment. Although primary-school enrollment is near 100%, educational quality is poor, the drop-out rate and grade repetition remain high, and teacher and school accountability is low. |
| Demographic profile: | Honduras' population growth rate has slowed since the 1990s, but it remains high at nearly 2% annually because the birth rate averages approximately three children per woman and more among rural, indigenous, and poor women. Consequently, Honduras' young adult population - ages 15 to 29 - is projected to continue growing rapidly for the next three decades and then stabilize or slowly shrink. Population growth and limited job prospects outside of agriculture will continue to drive emigration. Remittances represent about a fifth of GDP. |
| Age structure: | 0-14 years: 32.37% (male 1,518,526 /female 1,453,891) |
| Age structure: | 15-24 years: 20.88% (male 977,899 /female 939,490) |
| Age structure: | 25-54 years: 37.07% (male 1,724,257 /female 1,679,694) |
| Age structure: | 55-64 years: 5.27% (male 229,066 /female 255,169) |
| Age structure: | 65 years and over: 4.41% (male 174,771 /female 230,003) (2018 est.) |
| Dependency ratios: | total dependency ratio: 59.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 52.7 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 7.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 14.2 (2015 est.) |
| Median age: | total: 23.3 years (2018 est.) |
| Median age: | male: 23 years |
| Median age: | female: 23.7 years |
| Population growth rate: | 1.56% (2018 est.) |
| Birth rate: | 22 births/1,000 population (2018 est.) |
| Death rate: | 5.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most residents live in the mountainous western half of the country; unlike other Central American nations, Honduras is the only one with an urban population that is distributed between two large centers - the capital of Tegucigalpa and the city of San Pedro Sula; the Rio Ulua valley in the north is the only densely populated lowland area |
| Urbanization: | urban population: 57.7% of total population (2019) |
| Urbanization: | rate of urbanization: 2.75% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.403 million TEGUCIGALPA (capital), 876,000 San Pedro Sula (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 20.4 years (2011/12 est.) |
| Mother's mean age at first birth: | note: median age a first birth among women 25-29 |
| Maternal mortality rate: | 65 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 16.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 18.9 deaths/1,000 live births |
| Infant mortality rate: | female: 14.4 deaths/1,000 live births |
| Life expectancy at birth: | total population: 71.3 years (2018 est.) |
| Life expectancy at birth: | male: 69.6 years |
| Life expectancy at birth: | female: 73 years |
| Total fertility rate: | 2.61 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 73.2% (2011/12) |
| Drinking water source: | improved: urban: 97.4% of population |
| Drinking water source: | rural: 83.8% of population |
| Drinking water source: | total: 91.2% of population |
| Drinking water source: | unimproved: urban: 2.6% of population |
| Drinking water source: | rural: 16.2% of population |
| Drinking water source: | total: 8.8% of population (2015 est.) |
| Current Health Expenditure: | 8.4% (2016) |
| Physicians density: | 0.31 physicians/1,000 population (2017) |
| Hospital bed density: | 0.7 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 86.7% of population (2015 est.) |
| Sanitation facility access: | rural: 77.7% of population (2015 est.) |
| Sanitation facility access: | total: 82.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 13.3% of population (2015 est.) |
| Sanitation facility access: | rural: 22.3% of population (2015 est.) |
| Sanitation facility access: | total: 17.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 23,000 (2018 est.) |
| HIV/AIDS - deaths: | <1000 (2018 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
