| People and Society | INDONESIA |
| --- | --- |
| Population: | 258,316,051 (July 2016 est.) |
| Nationality: | noun: Indonesian(s) |
| Nationality: | adjective: Indonesian |
| Ethnic groups: | Javanese 40.1%, Sundanese 15.5%, Malay 3.7%, Batak 3.6%, Madurese 3%, Betawi 2.9%, Minangkabau 2.7%, Buginese 2.7%, Bantenese 2%, Banjarese 1.7%, Balinese 1.7%, Acehnese 1.4%, Dayak 1.4%, Sasak 1.3%, Chinese 1.2%, other 15% (2010 est.) |
| Languages: | Bahasa Indonesia (official, modified form of Malay), English, Dutch, local dialects (of which the most widely spoken is Javanese) |
| Languages: | note: more than 700 languages are used in Indonesia |
| Religions: | Muslim 87.2%, Christian 7%, Roman Catholic 2.9%, Hindu 1.7%, other 0.9% (includes Buddhist and Confucian), unspecified 0.4% (2010 est.) |
| Age structure: | 0-14 years: 25.42% (male 33,435,020/female 32,224,706) |
| Age structure: | 15-24 years: 17.03% (male 22,397,086/female 21,604,985) |
| Age structure: | 25-54 years: 42.35% (male 55,857,415/female 53,543,682) |
| Age structure: | 55-64 years: 8.4% (male 9,918,897/female 11,790,016) |
| Age structure: | 65 years and over: 6.79% (male 7,630,251/female 9,913,993) (2016 est.) |
| Dependency ratios: | total dependency ratio: 49% |
| Dependency ratios: | youth dependency ratio: 41.2% |
| Dependency ratios: | elderly dependency ratio: 7.7% |
| Dependency ratios: | potential support ratio: 13% (2015 est.) |
| Median age: | total: 29.9 years |
| Median age: | male: 29.3 years |
| Median age: | female: 30.5 years (2016 est.) |
| Population growth rate: | 0.89% (2016 est.) |
| Birth rate: | 16.4 births/1,000 population (2016 est.) |
| Death rate: | 6.4 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 53.7% of total population (2015) |
| Urbanization: | rate of urbanization: 2.69% annual rate of change (2010-15 est.) |
| Major urban areas - population: | JAKARTA (capital) 10.323 million; Surabaya 2.853 million; Bandung 2.544 million; Medan 2.204 million; Semarang 1.63 million; Makassar 1.489 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 22.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 126 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 23.5 deaths/1,000 live births |
| Infant mortality rate: | male: 27.5 deaths/1,000 live births |
| Infant mortality rate: | female: 19.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 72.7 years |
| Life expectancy at birth: | male: 70.1 years |
| Life expectancy at birth: | female: 75.5 years (2016 est.) |
| Total fertility rate: | 2.13 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 61.9% (2012) |
| Health expenditures: | 2.8% of GDP (2014) |
| Physicians density: | 0.2 physicians/1,000 population (2012) |
| Hospital bed density: | 0.9 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.2% of population |
| Drinking water source: | rural: 79.5% of population |
| Drinking water source: | total: 87.4% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 20.5% of population |
| unimproved: | total: 12.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 72.3% of population |
| Sanitation facility access: | rural: 47.5% of population |
| Sanitation facility access: | total: 60.8% of population |
| unimproved: | urban: 27.7% of population |
| unimproved: | rural: 52.5% of population |
| unimproved: | total: 39.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.48% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 692,800 (2015 est.) |
| HIV/AIDS - deaths: | 35,300 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Obesity - adult prevalence rate: | 5.7% (2014) |
| Children under the age of 5 years underweight: | 19.9% (2013) |
| Education expenditures: | 3.3% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.9% |
| Literacy: | male: 96.3% |
| Literacy: | female: 91.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2014) |
| Child labor - children ages 5-14: | total number: 4,026,285 |
| Child labor - children ages 5-14: | percentage: 7% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 (2009 est.) |
| Unemployment, youth ages 15-24: | total: 31.3% |
| Unemployment, youth ages 15-24: | male: 19.5% |
| Unemployment, youth ages 15-24: | female: 21.4% (2013 est.) |
