| People and Society | Botswana |
| --- | --- |
| Population: | 2,249,104 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Languages: | Setswana 77.3%, Sekalanga 7.4%, Shekgalagadi 3.4%, English (official) 2.8%, Zezuru/Shona 2%, Sesarwa 1.7%, Sembukushu 1.6%, Ndebele 1%, other 2.8% (2011 est.) |
| Religions: | Christian 79.1%, Badimo 4.1%, other 1.4% (includes Baha'i, Hindu, Muslim, Rastafarian), none 15.2%, unspecified 0.3% (2011 est.) |
| Demographic profile: | Botswana has experienced one of the most rapid declines in fertility in sub-Saharan Africa. The total fertility rate has fallen from more than 5 children per woman in the mid 1980s to approximately 2.4 in 2013. The fertility reduction has been attributed to a host of factors, including higher educational attainment among women, greater participation of women in the workforce, increased contraceptive use, later first births, and a strong national family planning program. Botswana was making significant progress in several health indicators, including life expectancy and infant and child mortality rates, until being devastated by the HIV/AIDs epidemic in the 1990s. |
| Demographic profile: | Today Botswana has the third highest HIV/AIDS prevalence rate in the world at approximately 22%, however comprehensive and effective treatment programs have reduced HIV/AIDS-related deaths. The combination of declining fertility and increasing mortality rates because of HIV/AIDS is slowing the population aging process, with a narrowing of the youngest age groups and little expansion of the oldest age groups. Nevertheless, having the bulk of its population (about 60%) of working age will only yield economic benefits if the labor force is healthy, educated, and productively employed. |
| Demographic profile: | Batswana have been working as contract miners in South Africa since the 19th century. Although Botswanaâ€™s economy improved shortly after independence in 1966 with the discovery of diamonds and other minerals, its lingering high poverty rate and lack of job opportunities continued to push workers to seek mining work in southern African countries. In the early 1970s, about a third of Botswanaâ€™s male labor force worked in South Africa (lesser numbers went to Namibia and Zimbabwe). Not until the 1980s and 1990s, when South African mining companies had reduced their recruitment of foreign workers and Botswanaâ€™s economic prospects had improved, were Batswana increasingly able to find job opportunities at home. |
| Demographic profile: | Most Batswana prefer life in their home country and choose cross-border migration on a temporary basis only for work, shopping, visiting family, or tourism. Since the 1970s, Botswana has pursued an open migration policy enabling it to recruit thousands of foreign workers to fill skilled labor shortages. In the late 1990s, Botswanaâ€™s prosperity and political stability attracted not only skilled workers but small numbers of refugees from neighboring Angola, Namibia, and Zimbabwe. |
| Age structure: | 0-14 years: 31.48% (male 357,175 /female 350,775) |
| Age structure: | 15-24 years: 18.7% (male 207,611 /female 212,874) |
| Age structure: | 25-54 years: 38.88% (male 412,475 /female 462,013) |
| Age structure: | 55-64 years: 5.61% (male 53,653 /female 72,617) |
| Age structure: | 65 years and over: 5.33% (male 51,304 /female 68,607) (2018 est.) |
| Dependency ratios: | total dependency ratio: 55.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 49.3 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 17.3 (2015 est.) |
| Median age: | total: 24.9 years |
| Median age: | male: 23.8 years |
| Median age: | female: 26 years (2018 est.) |
| Population growth rate: | 1.52% (2018 est.) |
| Birth rate: | 21.7 births/1,000 population (2018 est.) |
| Death rate: | 9.5 deaths/1,000 population (2018 est.) |
