| People | Botswana |
| --- | --- |
| Population: | 2,029,307 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 34.8% (male 352,399/female 340,058) |
| Age structure: | 15-64 years: 61.4% (male 613,714/female 608,003) |
| Age structure: | 65 years and over: 3.9% (male 31,155/female 45,547) (2010 est.) |
| Median age: | total: 22 years |
| Median age: | male: 21.8 years |
| Median age: | female: 22.1 years (2010 est.) |
| Population growth rate: | 1.843% (2010 est.) |
| Birth rate: | 22.54 births/1,000 population (2010 est.) |
| Death rate: | 9.02 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 4.91 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2010 est.) |
| Urbanization: | urban population: 60% of total population (2008) |
| Urbanization: | rate of urbanization: 2.5% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 11.79 deaths/1,000 live births |
| Infant mortality rate: | male: 12.51 deaths/1,000 live births |
| Infant mortality rate: | female: 11.05 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 60.93 years |
| Life expectancy at birth: | male: 61.11 years |
| Life expectancy at birth: | female: 60.75 years (2010 est.) |
| Total fertility rate: | 2.54 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 23.9% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 300,000 (2007 est.) |
| HIV/AIDS - deaths: | 11,000 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2009) |
| Nationality: | noun: Motswana (singular), Batswana (plural) |
| Nationality: | adjective: Motswana (singular), Batswana (plural) |
| Ethnic groups: | Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7% |
| Religions: | Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census) |
| Languages: | Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English 2.1% (official), other 8.6%, unspecified 0.4% (2001 census) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.2% |
| Literacy: | male: 80.4% |
| Literacy: | female: 81.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2006) |
| Education expenditures: | 8.1% of GDP (2007) |
