| People and Society | LEBANON |
| --- | --- |
| Population: | 6,229,794 (July 2017 est.) |
| Nationality: | noun: Lebanese (singular and plural) |
| Nationality: | adjective: Lebanese |
| Ethnic groups: | Arab 95%, Armenian 4%, other 1% |
| Ethnic groups: | note: many Christian Lebanese do not identify themselves as Arab but rather as descendants of the ancient Canaanites and prefer to be called Phoenicians |
| Languages: | Arabic (official), French, English, Armenian |
| Religions: | Muslim 54% (27% Sunni, 27% Shia), Christian 40.5% (includes 21% Maronite Catholic, 8% Greek Orthodox, 5% Greek Catholic, 6.5% other Christian), Druze 5.6%, very small numbers of Jews, Baha'is, Buddhists, Hindus, and Mormons |
| Religions: | note: 18 religious sects recognized (2012 est.) |
| Age structure: | 0-14 years: 24.09% (male 768,282/female 732,773) |
| Age structure: | 15-24 years: 16.42% (male 523,380/female 499,582) |
| Age structure: | 25-54 years: 44.79% (male 1,412,114/female 1,378,464) |
| Age structure: | 55-64 years: 7.91% (male 232,198/female 260,685) |
| Age structure: | 65 years and over: 6.78% (male 183,995/female 238,321) (2017 est.) |
| Dependency ratios: | total dependency ratio: 47.3 |
| Dependency ratios: | youth dependency ratio: 35.3 |
| Dependency ratios: | elderly dependency ratio: 12 |
| Dependency ratios: | potential support ratio: 8.3 (2015 est.) |
| Median age: | total: 30.5 years |
| Median age: | male: 29.9 years |
| Median age: | female: 31.1 years (2017 est.) |
| Population growth rate: | -1.1% (2017 est.) |
| Birth rate: | 14.3 births/1,000 population (2017 est.) |
| Death rate: | 5 deaths/1,000 population (2017 est.) |
| Net migration rate: | -20.3 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the majority of the people live on or near the Mediterranean coast, and of these most live in and around the capital, Beirut; favorable growing conditions in the Bekaa Valley, on the southeastern side of the Lebanon Mountains, have attracted farmers and thus the area exhibits a smaller population density |
| Urbanization: | urban population: 88% of total population (2017) |
| Urbanization: | rate of urbanization: -0.57% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BEIRUT (capital) 2.226 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.88 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Maternal mortality rate: | 15 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 7.4 deaths/1,000 live births |
| Infant mortality rate: | male: 7.8 deaths/1,000 live births |
| Infant mortality rate: | female: 7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.8 years |
| Life expectancy at birth: | male: 76.5 years |
| Life expectancy at birth: | female: 79.1 years (2017 est.) |
| Total fertility rate: | 1.72 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 54.5% (2009) |
| Health expenditures: | 6.4% of GDP (2014) |
| Physicians density: | 2.38 physicians/1,000 population (2014) |
| Hospital bed density: | 3.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 80.7% of population |
| Sanitation facility access: | rural: 80.7% of population |
| Sanitation facility access: | total: 80.7% of population |
| unimproved: | urban: 19.3% of population |
| unimproved: | rural: 19.3% of population |
| unimproved: | total: 19.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,200 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 32% (2016) |
| Education expenditures: | 2.6% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.9% |
| Literacy: | male: 96% |
| Literacy: | female: 91.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2014) |
| Unemployment, youth ages 15-24: | total: 22.1% |
| Unemployment, youth ages 15-24: | male: 22.3% |
| Unemployment, youth ages 15-24: | female: 21.6% (2007 est.) |
