| People and Society | Lebanon |
| --- | --- |
| Nationality: | noun: Lebanese (singular and plural) |
| Nationality: | adjective: Lebanese |
| Ethnic groups: | Arab 95%, Armenian 4%, other 1% |
| Ethnic groups: | note: many Christian Lebanese do not identify themselves as Arab but rather as descendents of the ancient Canaanites and prefer to be called Phoenicians |
| Languages: | Arabic (official), French, English, Armenian |
| Religions: | Muslim 54% (27% Sunni, 27% Shia), Christian 40.5% (includes 21% Maronite Catholic, 8% Greek Orthodox, 5% Greek Catholic, 6.5% other Christian), Druze 5.6%, very small numbers of Jews, Baha'is, Buddhists, Hindus, and Mormons |
| Religions: | note: 18 religious sects recognized (2012 est.) |
| Population: | 5,882,562 (July 2014 est.) |
| Age structure: | 0-14 years: 25.2% (male 758,153/female 723,619) |
| Age structure: | 15-24 years: 17.2% (male 515,591/female 493,879) |
| Age structure: | 25-54 years: 44.1% (male 1,309,544/female 1,283,074) |
| Age structure: | 55-64 years: 6.9% (male 185,503/female 219,242) |
| Age structure: | 65 years and over: 9.4% (male 175,911/female 218,046) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 40.6 % |
| population pyramid: | youth dependency ratio: 28.3 % |
| population pyramid: | elderly dependency ratio: 12.3 % |
| population pyramid: | potential support ratio: 8.1 (2014 est.) |
| Median age: | total: 29.3 years |
| Median age: | male: 28.7 years |
| Median age: | female: 29.8 years (2014 est.) |
| Population growth rate: | 9.37% (2014 est.) |
| Birth rate: | 14.8 births/1,000 population (2014 est.) |
| Death rate: | 4.95 deaths/1,000 population (2014 est.) |
| Net migration rate: | 83.82 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 87.2% of total population (2011) |
| Urbanization: | rate of urbanization: 0.86% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BEIRUT (capital) 2.022 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2014 est.) |
| Maternal mortality rate: | 25 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 7.98 deaths/1,000 live births |
| Infant mortality rate: | male: 8.4 deaths/1,000 live births |
| Infant mortality rate: | female: 7.53 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 77.22 years |
| Life expectancy at birth: | male: 76.03 years |
| Life expectancy at birth: | female: 78.46 years (2014 est.) |
| Total fertility rate: | 1.74 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 58% (2004) |
| Health expenditures: | 6.3% of GDP (2011) |
| Physicians density: | 3.54 physicians/1,000 population (2009) |
| Hospital bed density: | 3.5 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 87% of population |
| Sanitation facility access: | total: 98.3% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 1.7% of population (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,600 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 27.4% (2008) |
| Children under the age of 5 years underweight: | 4.2% (2004) |
| Education expenditures: | 2.2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.6% |
| Literacy: | male: 93.4% |
| Literacy: | female: 86% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Child labor - children ages 5-14: | total number: 54,387 |
| Child labor - children ages 5-14: | percentage: 7 % (2000 est.) |
| Unemployment, youth ages 15-24: | total: 16.8% |
| Unemployment, youth ages 15-24: | male: 14.6% |
| Unemployment, youth ages 15-24: | female: 22.3% (2009) |
