| People and Society | LESOTHO |
| --- | --- |
| Nationality: | noun: Mosotho (singular), Basotho (plural) |
| Nationality: | adjective: Basotho |
| Ethnic groups: | Sotho 99.7%, Europeans, Asians, and other 0.3%, |
| Languages: | Sesotho (official) (southern Sotho), English (official), Zulu, Xhosa |
| Religions: | Christian 80%, indigenous beliefs 20% |
| Population: | 1,947,701 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 32.67% (male 319,592/female 316,672) |
| Age structure: | 15-24 years: 19.73% (male 182,697/female 201,510) |
| Age structure: | 25-54 years: 37.2% (male 354,193/female 370,287) |
| Age structure: | 55-64 years: 4.98% (male 51,693/female 45,234) |
| Age structure: | 65 years and over: 5.43% (male 53,706/female 52,117) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 67.3% |
| population pyramid: | youth dependency ratio: 60.3% |
| population pyramid: | elderly dependency ratio: 6.9% |
| population pyramid: | potential support ratio: 14.4% (2015 est.) |
| Median age: | total: 23.8 years |
| Median age: | male: 23.8 years |
| Median age: | female: 23.8 years (2015 est.) |
| Population growth rate: | 0.32% (2015 est.) |
| Birth rate: | 25.47 births/1,000 population (2015 est.) |
| Death rate: | 14.89 deaths/1,000 population (2015 est.) |
| Net migration rate: | -7.36 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 27.3% of total population (2015) |
| Urbanization: | rate of urbanization: 3.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MASERU (capital) 267,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.91 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 1.14 male(s)/female |
| Sex ratio: | 65 years and over: 1.03 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 49.03 deaths/1,000 live births |
| Infant mortality rate: | male: 52.82 deaths/1,000 live births |
| Infant mortality rate: | female: 45.13 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 52.86 years |
| Life expectancy at birth: | male: 52.76 years |
| Life expectancy at birth: | female: 52.97 years (2015 est.) |
| Total fertility rate: | 2.72 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 47% (2009/10) |
| Health expenditures: | 11.5% of GDP (2013) |
| Hospital bed density: | 1.3 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.6% of population |
| Drinking water source: | rural: 77% of population |
| Drinking water source: | total: 81.8% of population |
| unimproved: | urban: 5.4% of population |
| unimproved: | rural: 23% of population |
| unimproved: | total: 18.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 37.3% of population |
| Sanitation facility access: | rural: 27.6% of population |
| Sanitation facility access: | total: 30.3% of population |
| unimproved: | urban: 62.7% of population |
| unimproved: | rural: 72.4% of population |
| unimproved: | total: 69.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 23.39% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 314,600 (2014 est.) |
| HIV/AIDS - deaths: | 9,300 (2014 est.) |
| Obesity - adult prevalence rate: | 11.9% (2014) |
| Children under the age of 5 years underweight: | 13.5% (2010) |
| Education expenditures: | 13% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 79.4% |
| Literacy: | male: 70.1% |
| Literacy: | female: 88.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2012) |
| Child labor - children ages 5-14: | total number: 103,020 |
| Child labor - children ages 5-14: | percentage: 23% (2000 est.) |
| Unemployment, youth ages 15-24: | total: 34.4% |
| Unemployment, youth ages 15-24: | male: 29% |
| Unemployment, youth ages 15-24: | female: 41.9% (2008 est.) |
