| People and Society | Lesotho |
| --- | --- |
| Nationality: | noun: Mosotho (singular), Basotho (plural) |
| Nationality: | adjective: Basotho |
| Ethnic groups: | Sotho 99.7%, Europeans, Asians, and other 0.3%, |
| Languages: | Sesotho (official) (southern Sotho), English (official), Zulu, Xhosa |
| Religions: | Christian 80%, indigenous beliefs 20% |
| Population: | 1,924,886 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 33.5% (male 323,934/female 321,727) |
| Age structure: | 15-64 years: 61.1% (male 573,773/female 602,443) |
| Age structure: | 65 years and over: 5.4% (male 50,956/female 52,053) (2011 est.) |
| Median age: | total: 22.9 years |
| Median age: | male: 22.8 years |
| Median age: | female: 22.9 years (2011 est.) |
| Population growth rate: | 0.332% (2011 est.) |
| Birth rate: | 26.93 births/1,000 population (2011 est.) |
| Death rate: | 15.19 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -8.42 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 27% of total population (2010) |
| Urbanization: | rate of urbanization: 3.4% annual rate of change (2010-15 est.) |
| Major cities - population: | MASERU (capital) 220,000 (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2011 est.) |
| Maternal mortality rate: | 530 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 55.04 deaths/1,000 live births |
| Infant mortality rate: | male: 59.28 deaths/1,000 live births |
| Infant mortality rate: | female: 50.67 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 51.63 years |
| Life expectancy at birth: | male: 51.51 years |
| Life expectancy at birth: | female: 51.76 years (2011 est.) |
| Total fertility rate: | 2.94 children born/woman (2011 est.) |
| Health expenditures: | 13.2% of GDP (2009) |
| Physicians density: | 0.05 physicians/1,000 population (2003) |
| Hospital bed density: | 1.33 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 81% of population |
| Drinking water source: | total: 85% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 19% of population |
| unimproved: | total: 15% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 40% of population |
| Sanitation facility access: | rural: 25% of population |
| Sanitation facility access: | total: 29% of population |
| unimproved: | urban: 60% of population |
| unimproved: | rural: 75% of population |
| unimproved: | total: 71% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 23.6% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 290,000 (2009 est.) |
| HIV/AIDS - deaths: | 14,000 (2009 est.) |
| Children under the age of 5 years underweight: | 16.6% (2005) |
| Education expenditures: | 12.4% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.8% |
| Literacy: | male: 74.5% |
| Literacy: | female: 94.5% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
