| People and Society | MALTA |
| --- | --- |
| Population: | 416,338 (July 2017 est.) |
| Nationality: | noun: Maltese (singular and plural) |
| Nationality: | adjective: Maltese |
| Ethnic groups: | Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock) |
| Languages: | Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9% (2005 est.) |
| Religions: | Roman Catholic (official) more than 90% (2006 est.) |
| Age structure: | 0-14 years: 15.04% (male 32,128/female 30,490) |
| Age structure: | 15-24 years: 11.44% (male 24,471/female 23,142) |
| Age structure: | 25-54 years: 39.98% (male 85,158/female 81,303) |
| Age structure: | 55-64 years: 13.98% (male 28,919/female 29,298) |
| Age structure: | 65 years and over: 19.56% (male 36,743/female 44,686) (2017 est.) |
| Dependency ratios: | total dependency ratio: 48.8 |
| Dependency ratios: | youth dependency ratio: 21.4 |
| Dependency ratios: | elderly dependency ratio: 27.3 |
| Dependency ratios: | potential support ratio: 3.7 (2015 est.) |
| Median age: | total: 41.8 years |
| Median age: | male: 40.8 years |
| Median age: | female: 43 years (2017 est.) |
| Population growth rate: | 0.26% (2017 est.) |
| Birth rate: | 10.1 births/1,000 population (2017 est.) |
| Death rate: | 9.4 deaths/1,000 population (2017 est.) |
| Net migration rate: | 2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population lives on the eastern half of Malta, the largest of the three inhabited islands |
| Urbanization: | urban population: 95.6% of total population (2017) |
| Urbanization: | rate of urbanization: 0.32% annual rate of change (2015-20 est.) |
| Major urban areas - population: | VALLETTA (capital) 197,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.9 years |
| Mother's mean age at first birth: | note: data refer to the average of the different childbearing ages of first-order births (2010 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.5 deaths/1,000 live births |
| Infant mortality rate: | male: 3.9 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 80.5 years |
| Life expectancy at birth: | male: 78.1 years |
| Life expectancy at birth: | female: 83 years (2017 est.) |
| Total fertility rate: | 1.55 children born/woman (2017 est.) |
| Health expenditures: | 9.7% of GDP (2014) |
| Physicians density: | 3.91 physicians/1,000 population (2015) |
| Hospital bed density: | 4.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <500 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 28.9% (2016) |
| Education expenditures: | 8.3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 93.1% |
| Literacy: | female: 95.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 11.8% |
| Unemployment, youth ages 15-24: | male: 13.9% |
| Unemployment, youth ages 15-24: | female: 9.4% (2015 est.) |
