| People and Society | Malta |
| --- | --- |
| Nationality: | noun: Maltese (singular and plural) |
| Nationality: | adjective: Maltese |
| Ethnic groups: | Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock) |
| Languages: | Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9% (2005 est.) |
| Religions: | Roman Catholic (official) more than 90% (2011 est.) |
| Population: | 412,655 (July 2014 est.) |
| Age structure: | 0-14 years: 15.1% (male 32,021/female 30,432) |
| Age structure: | 15-24 years: 12.6% (male 26,680/female 25,201) |
| Age structure: | 25-54 years: 40.4% (male 85,109/female 81,577) |
| Age structure: | 55-64 years: 14% (male 28,751/female 29,113) |
| Age structure: | 65 years and over: 17.2% (male 32,903/female 40,868) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 45.7 % |
| population pyramid: | youth dependency ratio: 20.9 % |
| population pyramid: | elderly dependency ratio: 24.8 % |
| population pyramid: | potential support ratio: 4 (2014 est.) |
| Median age: | total: 40.9 years |
| Median age: | male: 39.7 years |
| Median age: | female: 42.1 years (2014 est.) |
| Population growth rate: | 0.33% (2014 est.) |
| Birth rate: | 10.24 births/1,000 population (2014 est.) |
| Death rate: | 8.96 deaths/1,000 population (2014 est.) |
| Net migration rate: | 1.99 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 94.8% of total population (2011) |
| Urbanization: | rate of urbanization: 0.47% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VALLETTA (capital) 198,000 (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.04 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.79 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 26.9 |
| Mother's mean age at first birth: | note: data refer to the average of the different childbearing ages of first-order births (2010 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.59 deaths/1,000 live births |
| Infant mortality rate: | male: 4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.16 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 80.11 years |
| Life expectancy at birth: | male: 77.8 years |
| Life expectancy at birth: | female: 82.56 years (2014 est.) |
| Total fertility rate: | 1.54 children born/woman (2014 est.) |
| Health expenditures: | 8.5% of GDP (2010) |
| Physicians density: | 3.23 physicians/1,000 population (2011) |
| Hospital bed density: | 4.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Obesity - adult prevalence rate: | 28.8% (2008) |
| Education expenditures: | 6.9% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.4% |
| Literacy: | male: 91.2% |
| Literacy: | female: 93.5% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2011) |
| Unemployment, youth ages 15-24: | total: 14.2% |
| Unemployment, youth ages 15-24: | male: 14% |
| Unemployment, youth ages 15-24: | female: 14.5% (2012) |
