| People and Society | MALTA |
| --- | --- |
| Nationality: | noun: Maltese (singular and plural) |
| Nationality: | adjective: Maltese |
| Ethnic groups: | Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock) |
| Languages: | Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9% (2005 est.) |
| Religions: | Roman Catholic (official) more than 90% (2011 est.) |
| Population: | 413,965 (July 2015 est.) |
| Age structure: | 0-14 years: 15.05% (male 31,943/female 30,341) |
| Age structure: | 15-24 years: 12.22% (male 26,028/female 24,570) |
| Age structure: | 25-54 years: 40.24% (male 85,145/female 81,447) |
| Age structure: | 55-64 years: 13.98% (male 28,702/female 29,185) |
| Age structure: | 65 years and over: 18.5% (male 34,345/female 42,259) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 50.8% |
| population pyramid: | youth dependency ratio: 21.8% |
| population pyramid: | elderly dependency ratio: 29% |
| population pyramid: | potential support ratio: 3.4% (2015 est.) |
| Median age: | total: 41.2 years |
| Median age: | male: 40 years |
| Median age: | female: 42.4 years (2015 est.) |
| Population growth rate: | 0.31% (2015 est.) |
| Birth rate: | 10.18 births/1,000 population (2015 est.) |
| Death rate: | 9.09 deaths/1,000 population (2015 est.) |
| Net migration rate: | 1.98 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 95.4% of total population (2015) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VALLETTA (capital) 197,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 3.56 deaths/1,000 live births |
| Infant mortality rate: | male: 3.97 deaths/1,000 live births |
| Infant mortality rate: | female: 3.14 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 80.25 years |
| Life expectancy at birth: | male: 77.92 years |
| Life expectancy at birth: | female: 82.71 years (2015 est.) |
| Total fertility rate: | 1.54 children born/woman (2015 est.) |
| Health expenditures: | 8.7% of GDP (2013) |
| Physicians density: | 3.49 physicians/1,000 population (2013) |
| Hospital bed density: | 4.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 28.7% (2014) |
| Education expenditures: | 8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 93.1% |
| Literacy: | female: 95.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2012) |
| Unemployment, youth ages 15-24: | total: 14.2% |
| Unemployment, youth ages 15-24: | male: 14% |
| Unemployment, youth ages 15-24: | female: 14.5% (2012 est.) |
