| People and Society | Cayman Islands |
| --- | --- |
| Population: | 61,944 (July 2020 est.) |
| Population: | note: most of the population lives on Grand Cayman |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, White 20%, Black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 90.9%, Spanish 4%, Filipino 3.3%, other 1.7%, unspecified 0.1% (2010 est.) |
| Religions: | Protestant 67.8% (includes Church of God 22.6%, Seventh Day Adventist 9.4%, Presbyterian/United Church 8.6%, Baptist 8.3%, Pentecostal 7.1%, non-denominational 5.3%, Anglican 4.1%, Wesleyan Holiness 2.4%), Roman Catholic 14.1%, Jehovah's Witness 1.1%, other 7%, none 9.3%, unspecified 0.7% (2010 est.) |
| Age structure: | 0-14 years: 17.75% (male 5,535/female 5,457) |
| Age structure: | 15-24 years: 11.86% (male 3,673/female 3,675) |
| Age structure: | 25-54 years: 41.37% (male 12,489/female 13,140) |
| Age structure: | 55-64 years: 14.78% (male 4,398/female 4,755) |
| Age structure: | 65 years and over: 14.24% (male 4,053/female 4,769) (2020 est.) |
| Median age: | total: 40.5 years |
| Median age: | male: 39.7 years |
| Median age: | female: 41.2 years (2020 est.) |
| Population growth rate: | 1.9% (2020 est.) |
| Birth rate: | 11.9 births/1,000 population (2020 est.) |
| Death rate: | 6.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | 13 migrant(s)/1,000 population (2020 est.) |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US |
| Population distribution: | majority of the population resides on Grand Cayman |
| Urbanization: | urban population: 100% of total population (2020) |
| Urbanization: | rate of urbanization: 1.27% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 35,000 GEORGE TOWN (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Infant mortality rate: | total: 5.5 deaths/1,000 live births |
| Infant mortality rate: | male: 6.3 deaths/1,000 live births |
| Infant mortality rate: | female: 4.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 81.6 years |
| Life expectancy at birth: | male: 78.9 years |
| Life expectancy at birth: | female: 84.4 years (2020 est.) |
| Total fertility rate: | 1.83 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 97.4% of population |
| Drinking water source: | total: 97.4% of population |
| Drinking water source: | unimproved: urban: 2.6% of population |
| Drinking water source: | total: 2.6% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 95.6% of population |
| Sanitation facility access: | total: 95.6% of population |
| Sanitation facility access: | unimproved: urban: 4.4% of population |
| Sanitation facility access: | total: 4.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.9% |
| Literacy: | male: 98.7% |
| Literacy: | female: 99% (2007) |
| Unemployment, youth ages 15-24: | total: 13.8% |
| Unemployment, youth ages 15-24: | male: 16.4% |
| Unemployment, youth ages 15-24: | female: 11.4% (2015 est.) |
