| People and Society | CAYMAN ISLANDS |
| --- | --- |
| Population: | 58,441 |
| Population: | note: most of the population lives on Grand Cayman (July 2017 est.) |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 90.9%, Spanish 4%, Filipino 3.3%, other 1.7%, unspecified 0.1% (2010 est.) |
| Religions: | Protestant 67.8% (includes Church of God 22.6%, Seventh Day Adventist 9.4%, Presbyterian/United Church 8.6%, Baptist 8.3%, Pentecostal 7.1%, non-denominational 5.3%, Anglican 4.1%, Wesleyan Holiness 2.4%), Roman Catholic 14.1%, Jehovah's Witness 1.1%, other 7%, none 9.3%, unspecified 0.7% (2010 est.) |
| Age structure: | 0-14 years: 18% (male 5,298/female 5,224) |
| Age structure: | 15-24 years: 12.41% (male 3,601/female 3,654) |
| Age structure: | 25-54 years: 42.52% (male 12,123/female 12,727) |
| Age structure: | 55-64 years: 14.47% (male 4,030/female 4,427) |
| Age structure: | 65 years and over: 12.59% (male 3,425/female 3,932) (2017 est.) |
| Median age: | total: 40 years |
| Median age: | male: 39.3 years |
| Median age: | female: 40.7 years (2017 est.) |
| Population growth rate: | 2.01% (2017 est.) |
| Birth rate: | 12 births/1,000 population (2017 est.) |
| Death rate: | 5.8 deaths/1,000 population (2017 est.) |
| Net migration rate: | 13.8 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2017 est.) |
| Population distribution: | majority of the population resides on Grand Cayman |
| Urbanization: | urban population: 100% of total population (2017) |
| Urbanization: | rate of urbanization: 0.98% annual rate of change (2015-20 est.) |
| Major urban areas - population: | GEORGE TOWN (capital) 31,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 5.9 deaths/1,000 live births |
| Infant mortality rate: | male: 6.7 deaths/1,000 live births |
| Infant mortality rate: | female: 5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 81.3 years |
| Life expectancy at birth: | male: 78.6 years |
| Life expectancy at birth: | female: 84.1 years (2017 est.) |
| Total fertility rate: | 1.85 children born/woman (2017 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.4% of population |
| Drinking water source: | rural: NA |
| Drinking water source: | total: 97.4% of population |
| unimproved: | urban: 2.6% of population |
| unimproved: | rural: NA |
| unimproved: | total: 2.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.6% of population |
| Sanitation facility access: | total: 95.6% of population |
| unimproved: | urban: 4.4% of population |
| unimproved: | total: 4.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.9% |
| Literacy: | male: 98.7% |
| Literacy: | female: 99% (2007 est.) |
| Unemployment, youth ages 15-24: | total: 13.8% |
| Unemployment, youth ages 15-24: | male: 16.4% |
| Unemployment, youth ages 15-24: | female: 11.4% (2015 est.) |
