| People and Society | CAYMAN ISLANDS |
| --- | --- |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 90.9%, Spanish 4%, Filipino 3.3%, other 1.7%, unspecified 0.1% (2010 est.) |
| Religions: | Protestant 67.8% (includes Church of God 22.6%, Seventh Day Adventist 9.4%, Presbyterian/United Church 8.6%, Baptist 8.3%,Pentecostal 7.1%, non-denominational 5.3%, Anglican 4.1%, Wesleyan Holiness 2.4%), Roman Catholic 14.1%, Jehovah's Witness 1.1%, other 7%, none 9.3%, unspecified 0.7% (2010 est.) |
| Population: | 56,092 (July 2013 est.) |
| Population: | note: most of the population lives on Grand Cayman (July 2015 est.) |
| Age structure: | 0-14 years: 18.26% (male 5,158/female 5,084) |
| Age structure: | 15-24 years: 12.76% (male 3,542/female 3,615) |
| Age structure: | 25-54 years: 43.49% (male 11,894/female 12,500) |
| Age structure: | 55-64 years: 13.93% (male 3,712/female 4,104) |
| Age structure: | 65 years and over: 11.56% (male 3,047/female 3,436) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.7 years |
| population pyramid: | male: 39 years |
| population pyramid: | female: 40.3 years (2015 est.) |
| Population growth rate: | 2.1% (2015 est.) |
| Birth rate: | 12.11 births/1,000 population (2015 est.) |
| Death rate: | 5.53 deaths/1,000 population (2015 est.) |
| Net migration rate: | 14.4 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2015 est.) |
| Urbanization: | urban population: 100% of total population (2015) |
| Urbanization: | rate of urbanization: 1.54% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GEORGE TOWN (capital) 31,000 (2014) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 6.08 deaths/1,000 live births |
| Infant mortality rate: | male: 6.95 deaths/1,000 live births |
| Infant mortality rate: | female: 5.2 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 81.13 years |
| Life expectancy at birth: | male: 78.43 years |
| Life expectancy at birth: | female: 83.88 years (2015 est.) |
| Total fertility rate: | 1.86 children born/woman (2015 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.4% of population |
| Drinking water source: | total: 97.4% of population |
| unimproved: | urban: 2.6% of population |
| unimproved: | total: 2.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.6% of population |
| Sanitation facility access: | total: 95.6% of population |
| unimproved: | urban: 4.4% of population |
| unimproved: | total: 4.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98.9% |
| Literacy: | male: 98.7% |
| Literacy: | female: 99% (2007 est.) |
| Unemployment, youth ages 15-24: | total: 24.2% |
| Unemployment, youth ages 15-24: | male: 32% |
| Unemployment, youth ages 15-24: | female: 16.6% (2013 est.) |
