| People and Society | Cayman Islands |
| --- | --- |
| Nationality: | noun: Caymanian(s) |
| Nationality: | adjective: Caymanian |
| Ethnic groups: | mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20% |
| Languages: | English (official) 95%, Spanish 3.2%, other 1.8% (1999 census) |
| Religions: | Protestant 67.7% (Church of God 25.5%, Presbyterian/United Church 9.2%, Seventh-Day Adventist 8.4%, Baptist 8.3%, Pentecostal 6.7%, Anglican 3.9%, non-denominational 5.7%), Roman Catholic 12.6%, other religions 4%, other 6.5%, none 6.1%, unspecified 3.2% (2007) |
| Population: | 52,560 (July 2012 est.) |
| Population: | note: most of the population lives on Grand Cayman |
| Age structure: | 0-14 years: 18.8% (male 4,976/ female 4,907) |
| Age structure: | 15-64 years: 70.9% (male 18,133/ female 19,149) |
| Age structure: | 65 years and over: 10.3% (male 2,548/ female 2,847) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 39 years |
| Median age: | male: 38.4 years |
| Median age: | female: 39.5 years (2012 est.) |
| Population growth rate: | 2.239% (2012 est.) |
| Birth rate: | 12.21 births/1,000 population (2012 est.) |
| Death rate: | 5.19 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 15.37 migrant(s)/1,000 population |
| Net migration rate: | note: major destination for Cubans trying to migrate to the US (2012 est.) |
| Urbanization: | urban population: 100% of total population (2010) |
| Urbanization: | rate of urbanization: 0.9% annual rate of change (2010-15 est.) |
| Major cities - population: | GEORGE TOWN (capital) 32,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2011 est.) |
| Infant mortality rate: | total: 6.49 deaths/1,000 live births |
| Infant mortality rate: | male: 7.43 deaths/1,000 live births |
| Infant mortality rate: | female: 5.53 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 80.8 years |
| Life expectancy at birth: | male: 78.12 years |
| Life expectancy at birth: | female: 83.51 years (2012 est.) |
| Total fertility rate: | 1.87 children born/woman (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | total: 96% of population |
| unimproved: | urban: 4% of population |
| unimproved: | total: 4% of population |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 2.6% of GDP (2006) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 98% |
| Literacy: | male: 98% |
| Literacy: | female: 98% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2008) |
| Unemployment, youth ages 15-24: | total: 13.5% |
| Unemployment, youth ages 15-24: | male: 13.6% |
| Unemployment, youth ages 15-24: | female: 13.3% (2008) |
