| People and Society | MALDIVES |
| --- | --- |
| Nationality: | noun: Maldivian(s) |
| Nationality: | adjective: Maldivian |
| Ethnic groups: | South Indians, Sinhalese, Arabs |
| Languages: | Dhivehi (official, dialect of Sinhala, script derived from Arabic), English (spoken by most government officials) |
| Religions: | Sunni Muslim (official) |
| Population: | 393,253 (July 2015 est.) |
| Age structure: | 0-14 years: 21.05% (male 42,230/female 40,555) |
| Age structure: | 15-24 years: 22.41% (male 51,141/female 36,970) |
| Age structure: | 25-54 years: 47.08% (male 107,436/female 77,713) |
| Age structure: | 55-64 years: 5.14% (male 10,243/female 9,968) |
| Age structure: | 65 years and over: 4.32% (male 7,994/female 9,003) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.4% |
| population pyramid: | youth dependency ratio: 40.5% |
| population pyramid: | elderly dependency ratio: 6.9% |
| population pyramid: | potential support ratio: 14.4% (2015 est.) |
| Median age: | total: 27.4 years |
| Median age: | male: 27.5 years |
| Median age: | female: 27.3 years (2015 est.) |
| Population growth rate: | -0.08% (2015 est.) |
| Birth rate: | 15.75 births/1,000 population (2015 est.) |
| Death rate: | 3.89 deaths/1,000 population (2015 est.) |
| Net migration rate: | -12.68 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 45.5% of total population (2015) |
| Urbanization: | rate of urbanization: 4.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MALE (capital) 156,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.38 male(s)/female |
| Sex ratio: | 25-54 years: 1.38 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.26 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 23.7 deaths/1,000 live births |
| Infant mortality rate: | male: 26.11 deaths/1,000 live births |
| Infant mortality rate: | female: 21.17 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 75.37 years |
| Life expectancy at birth: | male: 73.06 years |
| Life expectancy at birth: | female: 77.8 years (2015 est.) |
| Total fertility rate: | 1.74 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 34.7% (2009) |
| Health expenditures: | 10.8% of GDP (2013) |
| Physicians density: | 1.42 physicians/1,000 population (2010) |
| Hospital bed density: | 4.3 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.5% of population |
| Drinking water source: | rural: 97.9% of population |
| Drinking water source: | total: 98.6% of population |
| unimproved: | urban: 0.5% of population |
| unimproved: | rural: 2.1% of population |
| unimproved: | total: 1.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 98.3% of population |
| Sanitation facility access: | total: 97.9% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 1.7% of population |
| unimproved: | total: 2.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.01% (2013 est.) |
| HIV/AIDS - people living with HIV/AIDS: | fewer than 100 (2013 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2013 est.) |
| Obesity - adult prevalence rate: | 7% (2014) |
| Children under the age of 5 years underweight: | 17.8% (2009) |
| Education expenditures: | 6.2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.3% |
| Literacy: | male: 99.8% |
| Literacy: | female: 98.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 22.2% |
| Unemployment, youth ages 15-24: | male: 15.5% |
| Unemployment, youth ages 15-24: | female: 30.5% (2006 est.) |
