| People and Society | Poland |
| --- | --- |
| Population: | 38,282,325 (July 2020 est.) |
| Nationality: | noun: Pole(s) |
| Nationality: | adjective: Polish |
| Ethnic groups: | Polish 96.9%, Silesian 1.1%, German 0.2%, Ukrainian 0.1%, other and unspecified 1.7% (2011 est.) |
| Ethnic groups: | note: represents ethnicity declared first |
| Languages: | Polish (official) 98.2%, Silesian 1.4%, other 1.1%, unspecified 1.3% (2011 est.) |
| Languages: | note: data represents the language spoken at home; shares sum to more than 100% because some respondents gave more than one answer on the census; Poland ratified the European Charter for Regional or Minority Languages in 2009 recognizing Kashub as a regional language, Czech, Hebrew, Yiddish, Belarusian, Lithuanian, German, Armenian, Russian, Slovak, and Ukrainian as national minority languages, and Karaim, Lemko, Romani (Polska Roma and Bergitka Roma), and Tatar as ethnic minority languages |
| Religions: | Catholic 85.9% (includes Roman Catholic 85.6% and Greek Catholic, Armenian Catholic, and Byzantine-Slavic Catholic .3%), Orthodox 1.3% (almost all are Polish Autocephalous Orthodox), Protestant 0.4% (mainly Augsburg Evangelical and Pentacostal), other 0.4% (includes Jehovah's Witness, Buddhist, Hare Krishna, Gaudiya Vaishnavism, Muslim, Jewish, Mormon), unspecified 12.1% (2017 est.) |
| Age structure: | 0-14 years: 14.83% (male 2,918,518/female 2,756,968) |
| Age structure: | 15-24 years: 9.8% (male 1,928,637/female 1,823,894) |
| Age structure: | 25-54 years: 43.33% (male 8,384,017/female 8,203,646) |
| Age structure: | 55-64 years: 13.32% (male 2,424,638/female 2,675,351) |
| Age structure: | 65 years and over: 18.72% (male 2,867,315/female 4,299,341) (2020 est.) |
| Dependency ratios: | total dependency ratio: 51.4 |
| Dependency ratios: | youth dependency ratio: 23 |
| Dependency ratios: | elderly dependency ratio: 28.4 |
| Dependency ratios: | potential support ratio: 3.5 (2020 est.) |
| Median age: | total: 41.9 years |
| Median age: | male: 40.3 years |
| Median age: | female: 43.6 years (2020 est.) |
| Population growth rate: | -0.19% (2020 est.) |
| Birth rate: | 8.9 births/1,000 population (2020 est.) |
| Death rate: | 10.6 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population concentrated in the southern area around Krakow and the central area around Warsaw and Lodz, with an extension to the northern coastal city of Gdansk |
| Urbanization: | urban population: 60% of total population (2020) |
| Urbanization: | rate of urbanization: -0.25% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.783 million WARSAW (capital), 769,000 Krakow (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.67 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 27.8 years (2017 est.) |
| Maternal mortality rate: | 2 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 4.3 deaths/1,000 live births |
| Infant mortality rate: | male: 4.6 deaths/1,000 live births |
| Infant mortality rate: | female: 3.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 78.3 years |
| Life expectancy at birth: | male: 74.5 years |
| Life expectancy at birth: | female: 82.3 years (2020 est.) |
| Total fertility rate: | 1.38 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 62.3% (2014) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 6.5% (2017) |
| Physicians density: | 2.38 physicians/1,000 population (2017) |
| Hospital bed density: | 6.6 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 99.7% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 99.8% of population |
| Sanitation facility access: | unimproved: urban: 0.3% of population |
| Sanitation facility access: | rural: 0% of population |
| Sanitation facility access: | total: 0.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | vectorborne diseases: tickborne encephalitis (2016) |
| Obesity - adult prevalence rate: | 23.1% (2016) |
| Education expenditures: | 4.6% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.9% |
| Literacy: | female: 99.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2018) |
| Unemployment, youth ages 15-24: | total: 11.7% |
| Unemployment, youth ages 15-24: | male: 11.5% |
| Unemployment, youth ages 15-24: | female: 12.1% (2018 est.) |
