| People and Society | Poland |
| --- | --- |
| Nationality: | noun: Pole(s) |
| Nationality: | adjective: Polish |
| Ethnic groups: | Polish 96.7%, German 0.4%, Belarusian 0.1%, Ukrainian 0.1%, other and unspecified 2.7% (2002 census) |
| Languages: | Polish (official) 97.8%, other and unspecified 2.2% (2002 census) |
| Languages: | < |
| Religions: | Roman Catholic 89.8% [about 75% practicing], Eastern Orthodox 1.3%, Protestant 0.3%, other 0.3%, unspecified 8.3% (2002) |
| Population: | 38,383,809 (July 2013 est.) |
| Age structure: | 0-14 years: 14.6% (male 2,881,605/female 2,721,614) |
| Age structure: | 15-24 years: 12.3% (male 2,412,546/female 2,313,222) |
| Age structure: | 25-54 years: 44.1% (male 8,506,429/female 8,408,872) |
| Age structure: | 55-64 years: 14.5% (male 2,632,058/female 2,952,063) |
| Age structure: | 65 years and over: 14.5% (male 2,142,246/female 3,413,154) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.6 % |
| population pyramid: | youth dependency ratio: 21.2 % |
| population pyramid: | elderly dependency ratio: 20.4 % |
| population pyramid: | potential support ratio: 4.9 (2013) |
| Median age: | total: 39.1 years |
| Median age: | male: 37.5 years |
| Median age: | female: 40.9 years (2013 est.) |
| Population growth rate: | -0.09% (2013 est.) |
| Birth rate: | 9.88 births/1,000 population (2013 est.) |
| Death rate: | 10.31 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.47 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 60.9% of total population (2011) |
| Urbanization: | rate of urbanization: -0.04% annual rate of change (2010-15 est.) |
| Major urban areas - population: | WARSAW (capital) 1.71 million; Krakow 756,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 26.6 (2010 est.) |
| Maternal mortality rate: | 5 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 6.3 deaths/1,000 live births |
| Infant mortality rate: | male: 7 deaths/1,000 live births |
| Infant mortality rate: | female: 5.56 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.45 years |
| Life expectancy at birth: | male: 72.53 years |
| Life expectancy at birth: | female: 80.62 years (2013 est.) |
| Total fertility rate: | 1.32 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 72.7% |
| Contraceptive prevalence rate: | note: 20-49 (1991) |
| Health expenditures: | 6.7% of GDP (2011) |
| Physicians density: | 2.07 physicians/1,000 population (2010) |
| Hospital bed density: | 6.6 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2008 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 80% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 10% of population (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1%; note - no country specific models provided (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 27,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 25.3% (2008) |
| Education expenditures: | 5.1% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.9% |
| Literacy: | female: 99.6% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2010) |
| Unemployment, youth ages 15-24: | total: 28.9% |
| Unemployment, youth ages 15-24: | male: 23.6% |
| Unemployment, youth ages 15-24: | female: 25.8% (2011) |
