| People and Society | POLAND |
| --- | --- |
| Population: | 38,523,261 (July 2016 est.) |
| Nationality: | noun: Pole(s) |
| Nationality: | adjective: Polish |
| Ethnic groups: | Polish 96.9%, Silesian 1.1%, German 0.2%, Ukrainian 0.1%, other and unspecified 1.7% |
| Ethnic groups: | note: represents ethnicity declared first (2011 est.) |
| Languages: | Polish (official) 98.2%, Silesian 1.4%, other 1.1%, unspecified 1.3% |
| Languages: | note: data represents the language spoken at home; shares sum to more than 100% because some respondents gave more than one answer on the census; Poland ratified the European Charter for Regional or Minority Languages in 2009 recognizing Kashub as a regional language, Czech, Hebrew, Yiddish, Belarusian, Lithuanian, German, Armenian, Russian, Slovak, and Ukrainian as national minority languages, and Karaim, Lemko, Romani (Polska Roma and Bergitka Roma), and Tatar as ethnic minority languages (2011 est.) |
| Religions: | Catholic 87.2% (includes Roman Catholic 86.9% and Greek Catholic, Armenian Catholic, and Byzantine-Slavic Catholic .3%), Orthodox 1.3% (almost all are Polish Autocephalous Orthodox), Protestant 0.4% (mainly Augsburg Evangelical and Pentacostal), other 0.4% (includes Jehovah's Witness, Buddhist, Hare Krishna, Gaudiya Vaishnavism, Muslim, Jewish, Mormon), unspecified 10.8% (2012 est.) |
| Age structure: | 0-14 years: 14.72% (male 2,915,840/female 2,754,098) |
| Age structure: | 15-24 years: 11.11% (male 2,195,587/female 2,082,634) |
| Age structure: | 25-54 years: 43.5% (male 8,456,789/female 8,301,167) |
| Age structure: | 55-64 years: 14.42% (male 2,623,838/female 2,931,215) |
| Age structure: | 65 years and over: 16.26% (male 2,460,648/female 3,801,445) (2016 est.) |
| Dependency ratios: | total dependency ratio: 43.8% |
| Dependency ratios: | youth dependency ratio: 21.5% |
| Dependency ratios: | elderly dependency ratio: 22.3% |
| Dependency ratios: | potential support ratio: 4.5% (2015 est.) |
| Median age: | total: 40.3 years |
| Median age: | male: 38.6 years |
| Median age: | female: 42 years (2016 est.) |
| Population growth rate: | -0.11% (2016 est.) |
| Birth rate: | 9.6 births/1,000 population (2016 est.) |
| Death rate: | 10.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population concentrated in the southern (Krakow) and central (Warsaw, Lodz) areas, with an extension to the northern coastal city of Gdansk |
| Urbanization: | urban population: 60.5% of total population (2015) |
| Urbanization: | rate of urbanization: -0.1% annual rate of change (2010-15 est.) |
| Major urban areas - population: | WARSAW (capital) 1.722 million; Krakow 760,000 (2015) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.2 (2013 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 4.5 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 77.6 years |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 81.7 years (2016 est.) |
| Total fertility rate: | 1.34 children born/woman (2016 est.) |
| Health expenditures: | 6.4% of GDP (2014) |
| Physicians density: | 2.22 physicians/1,000 population (2012) |
| Hospital bed density: | 6.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.3% of population |
| Drinking water source: | rural: 96.9% of population |
| Drinking water source: | total: 98.3% of population |
| unimproved: | urban: 0.7% of population |
| unimproved: | rural: 3.1% of population |
| unimproved: | total: 1.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.5% of population |
| Sanitation facility access: | rural: 96.7% of population |
| Sanitation facility access: | total: 97.2% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 3.3% of population |
| unimproved: | total: 2.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.07% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | vectorborne disease: tickborne encephalitis (2016) |
| Obesity - adult prevalence rate: | 27% (2014) |
| Education expenditures: | 4.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.8% |
| Literacy: | male: 99.9% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2013) |
| Unemployment, youth ages 15-24: | total: 23.9% |
| Unemployment, youth ages 15-24: | male: 22.7% |
| Unemployment, youth ages 15-24: | female: 25.5% (2014 est.) |
