| People and Society | Senegal |
| --- | --- |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Religions: | Muslim 94% (most adhere to one of the four main Sufi brotherhoods), Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| Population: | 13,300,410 (July 2013 est.) |
| Age structure: | 0-14 years: 42.7% (male 2,855,431/female 2,828,107) |
| Age structure: | 15-24 years: 20.5% (male 1,357,979/female 1,372,107) |
| Age structure: | 25-54 years: 30.1% (male 1,825,507/female 2,182,110) |
| Age structure: | 55-64 years: 3.7% (male 218,512/female 277,047) |
| Age structure: | 65 years and over: 2.9% (male 174,946/female 208,664) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 86.9 % |
| population pyramid: | youth dependency ratio: 81.3 % |
| population pyramid: | elderly dependency ratio: 5.6 % |
| population pyramid: | potential support ratio: 17.9 (2013) |
| Median age: | total: 18.2 years |
| Median age: | male: 17.4 years |
| Median age: | female: 19.1 years (2013 est.) |
| Population growth rate: | 2.51% (2013 est.) |
| Birth rate: | 35.64 births/1,000 population (2013 est.) |
| Death rate: | 8.85 deaths/1,000 population (2013 est.) |
| Net migration rate: | -1.74 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 42.5% of total population (2011) |
| Urbanization: | rate of urbanization: 3.32% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAKAR (capital) 2.777 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 0.83 male(s)/female |
| Sex ratio: | 55-64 years: 0.8 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 21.4 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 370 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 53.93 deaths/1,000 live births |
| Infant mortality rate: | male: 60.22 deaths/1,000 live births |
| Infant mortality rate: | female: 47.44 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 60.57 years |
| Life expectancy at birth: | male: 58.58 years |
| Life expectancy at birth: | female: 62.61 years (2013 est.) |
| Total fertility rate: | 4.61 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 13.1% (2010/11) |
| Health expenditures: | 6% of GDP (2011) |
| Physicians density: | 0.06 physicians/1,000 population (2008) |
| Hospital bed density: | 0.3 beds/1,000 population (2008) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93% of population |
| Drinking water source: | rural: 56% of population |
| Drinking water source: | total: 72% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 44% of population |
| unimproved: | total: 28% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 70% of population |
| Sanitation facility access: | rural: 39% of population |
| Sanitation facility access: | total: 52% of population |
| unimproved: | urban: 30% of population |
| unimproved: | rural: 61% of population |
| unimproved: | total: 48% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.9% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 59,000 (2009 est.) |
| HIV/AIDS - deaths: | 2,600 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 6.8% (2008) |
| Children under the age of 5 years underweight: | 19.2% (2011) |
| Education expenditures: | 5.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 49.7% |
| Literacy: | male: 61.8% |
| Literacy: | female: 38.7% (2009 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2010) |
| Child labor - children ages 5-14: | total number: 657,216 |
| Child labor - children ages 5-14: | percentage: 22 % (2005 est.) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 11.9% |
| Unemployment, youth ages 15-24: | female: 20.1% (2006) |
