| People | Senegal |
| --- | --- |
| Population: | 12,323,252 (July 2010 est.) |
| Age structure: | 0-14 years: 42.2% (male 2,911,324/female 2,877,804) |
| Age structure: | 15-64 years: 54.8% (male 3,728,664/female 3,786,000) |
| Age structure: | 65 years and over: 3% (male 190,343/female 217,462) (2010 est.) |
| Median age: | total: 17.9 years |
| Median age: | male: 17.1 years |
| Median age: | female: 18.7 years (2010 est.) |
| Population growth rate: | 2.579% (2010 est.) |
| Birth rate: | 37.27 births/1,000 population (2010 est.) |
| Death rate: | 9.49 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | -1.99 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 42% of total population (2008) |
| Urbanization: | rate of urbanization: 3.1% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 57.7 deaths/1,000 live births |
| Infant mortality rate: | male: 64.34 deaths/1,000 live births |
| Infant mortality rate: | female: 50.86 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 59.38 years |
| Life expectancy at birth: | male: 57.48 years |
| Life expectancy at birth: | female: 61.34 years (2010 est.) |
| Total fertility rate: | 4.86 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 67,000 (2007 est.) |
| HIV/AIDS - deaths: | 1,800 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: Crimean-Congo hemorrhagic fever, dengue fever, malaria, Rift Valley fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2009) |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Religions: | Muslim 94%, Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 39.3% |
| Literacy: | male: 51.1% |
| Literacy: | female: 29.2% (2002 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2008) |
| Education expenditures: | 5.1% of GDP (2008) |
