| People | Senegal |
| --- | --- |
| Population: | 12,521,851 (July 2007 est.) |
| Age structure: | 0-14 years: 42% (male 2,656,122/female 2,608,423) |
| Age structure: | 15-64 years: 55% (male 3,426,504/female 3,454,372) |
| Age structure: | 65 years and over: 3% (male 176,877/female 199,553) (2007 est.) |
| Median age: | total: 18.7 years |
| Median age: | male: 18.5 years |
| Median age: | female: 18.9 years (2007 est.) |
| Population growth rate: | 2.645% (2007 est.) |
| Birth rate: | 37.4 births/1,000 population (2007 est.) |
| Death rate: | 10.96 deaths/1,000 population (2007 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2007 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.018 male(s)/female |
| Sex ratio: | 15-64 years: 0.992 male(s)/female |
| Sex ratio: | 65 years and over: 0.886 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2007 est.) |
| Infant mortality rate: | total: 60.15 deaths/1,000 live births |
| Infant mortality rate: | male: 64.06 deaths/1,000 live births |
| Infant mortality rate: | female: 56.12 deaths/1,000 live births (2007 est.) |
| Life expectancy at birth: | total population: 56.69 years |
| Life expectancy at birth: | male: 55.34 years |
| Life expectancy at birth: | female: 58.09 years (2007 est.) |
| Total fertility rate: | 5 children born/woman (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 44,000 (2003 est.) |
| HIV/AIDS - deaths: | 3,500 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, yellow fever, Crimean-Congo hemorrhagic fever, and Rift Valley fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2007) |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Religions: | Muslim 94%, Christian 5% (mostly Roman Catholic), indigenous beliefs 1% |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 39.3% |
| Literacy: | male: 51.1% |
| Literacy: | female: 29.2% (2002 est.) |
