| People and Society | MALTA |
| --- | --- |
| Population: | 415,196 (July 2016 est.) |
| Nationality: | noun: Maltese (singular and plural) |
| Nationality: | adjective: Maltese |
| Ethnic groups: | Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock) |
| Languages: | Maltese (official) 90.1%, English (official) 6%, multilingual 3%, other 0.9% (2005 est.) |
| Religions: | Roman Catholic (official) more than 90% (2011 est.) |
| Age structure: | 0-14 years: 15.01% (male 31,978/female 30,361) |
| Age structure: | 15-24 years: 11.84% (male 25,276/female 23,890) |
| Age structure: | 25-54 years: 40.1% (male 85,151/female 81,346) |
| Age structure: | 55-64 years: 13.98% (male 28,797/female 29,251) |
| Age structure: | 65 years and over: 19.06% (male 35,614/female 43,532) (2016 est.) |
| Dependency ratios: | total dependency ratio: 50.8% |
| Dependency ratios: | youth dependency ratio: 21.8% |
| Dependency ratios: | elderly dependency ratio: 29% |
| Dependency ratios: | potential support ratio: 3.4% (2015 est.) |
| Median age: | total: 41.5 years |
| Median age: | male: 40.4 years |
| Median age: | female: 42.7 years (2016 est.) |
| Population growth rate: | 0.29% (2016 est.) |
| Birth rate: | 10.1 births/1,000 population (2016 est.) |
| Death rate: | 9.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | 2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population lives on the eastern half of Malta, the largest of the three inhabited islands |
| Urbanization: | urban population: 95.4% of total population (2015) |
| Urbanization: | rate of urbanization: 0.46% annual rate of change (2010-15 est.) |
| Major urban areas - population: | VALLETTA (capital) 197,000 (2014) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 26.9 |
| Mother's mean age at first birth: | note: data refer to the average of the different childbearing ages of first-order births (2010 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.5 deaths/1,000 live births |
| Infant mortality rate: | male: 3.9 deaths/1,000 live births |
| Infant mortality rate: | female: 3.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 80.4 years |
| Life expectancy at birth: | male: 78 years |
| Life expectancy at birth: | female: 82.8 years (2016 est.) |
| Total fertility rate: | 1.55 children born/woman (2016 est.) |
| Health expenditures: | 9.7% of GDP (2014) |
| Physicians density: | 3.49 physicians/1,000 population (2013) |
| Hospital bed density: | 4.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 28.7% (2014) |
| Education expenditures: | 6.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 93.1% |
| Literacy: | female: 95.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2014) |
| Unemployment, youth ages 15-24: | total: 11.8% |
| Unemployment, youth ages 15-24: | male: 13.8% |
| Unemployment, youth ages 15-24: | female: 9.6% (2014 est.) |
