| People and Society | Taiwan |
| --- | --- |
| Nationality: | noun: Taiwan (singular and plural) |
| Nationality: | note: example - he or she is from Taiwan; they are from Taiwan |
| Nationality: | adjective: Taiwan (or Taiwanese) |
| Ethnic groups: | Taiwanese (including Hakka) 84%, mainland Chinese 14%, indigenous 2% |
| Languages: | Mandarin Chinese (official), Taiwanese (Min), Hakka dialects |
| Religions: | mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5% |
| Population: | 23,359,928 (July 2014 est.) |
| Age structure: | 0-14 years: 14% (male 1,683,381/female 1,575,789) |
| Age structure: | 15-24 years: 13.4% (male 1,613,197/female 1,526,344) |
| Age structure: | 25-54 years: 47.4% (male 5,539,606/female 5,539,654) |
| Age structure: | 55-64 years: 13.2% (male 1,506,657/female 1,571,208) |
| Age structure: | 65 years and over: 11.6% (male 1,301,420/female 1,502,672) (2014 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 39.2 years |
| population pyramid: | male: 38.5 years |
| population pyramid: | female: 39.9 years (2014 est.) |
| Population growth rate: | 0.25% (2014 est.) |
| Birth rate: | 8.55 births/1,000 population (2014 est.) |
| Death rate: | 6.97 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0.9 migrant(s)/1,000 population (2014 est.) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2014 est.) |
| Infant mortality rate: | total: 4.49 deaths/1,000 live births |
| Infant mortality rate: | male: 4.9 deaths/1,000 live births |
| Infant mortality rate: | female: 4.06 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 79.84 years |
| Life expectancy at birth: | male: 76.72 years |
| Life expectancy at birth: | female: 83.2 years (2014 est.) |
| Total fertility rate: | 1.11 children born/woman (2014 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.1% |
| Literacy: | male: NA |
| Literacy: | female: NA (2003) |
