| People and Society | TAIWAN |
| --- | --- |
| Population: | 23,464,787 (July 2016 est.) |
| Nationality: | noun: Taiwan (singular and plural) |
| Nationality: | note: example - he or she is from Taiwan; they are from Taiwan |
| Nationality: | adjective: Taiwan (or Taiwanese) |
| Ethnic groups: | Taiwanese (including Hakka) 84%, mainland Chinese 14%, indigenous 2% |
| Languages: | Mandarin Chinese (official), Taiwanese (Min), Hakka dialects |
| Religions: | mixture of Buddhist and Taoist 93%, Christian 4.5%, other 2.5% |
| Age structure: | 0-14 years: 13.13% (male 1,588,679/female 1,493,419) |
| Age structure: | 15-24 years: 13.17% (male 1,585,222/female 1,505,004) |
| Age structure: | 25-54 years: 46.74% (male 5,477,446/female 5,490,829) |
| Age structure: | 55-64 years: 13.89% (male 1,593,024/female 1,665,354) |
| Age structure: | 65 years and over: 13.07% (male 1,408,367/female 1,657,443) (2016 est.) |
| Median age: | total: 40.2 years |
| Median age: | male: 39.5 years |
| Median age: | female: 40.9 years (2016 est.) |
| Population growth rate: | 0.2% (2016 est.) |
| Birth rate: | 8.4 births/1,000 population (2016 est.) |
| Death rate: | 7.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0.9 migrant(s)/1,000 population (2016 est.) |
| Major urban areas - population: | TAIPEI (capital) 2.666 million; Kaohsiung 1.523 million; Taichung 1.225 million; Tainan 815,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 4.4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.8 deaths/1,000 live births |
| Infant mortality rate: | female: 4 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 80.1 years |
| Life expectancy at birth: | male: 77 years |
| Life expectancy at birth: | female: 83.5 years (2016 est.) |
| Total fertility rate: | 1.12 children born/woman (2016 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.5% |
| Literacy: | male: 99.7% |
| Literacy: | female: 97.3% (2014 est.) |
