| People and Society | Burkina Faso |
| --- | --- |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 60.5%, Catholic 19%, animist 15.3%, Protestant 4.2%, other 0.6%, none 0.4% |
| Population: | 16,751,455 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 45.8% (male 3,849,350/female 3,828,483) |
| Age structure: | 15-64 years: 51.7% (male 4,320,779/female 4,334,197) |
| Age structure: | 65 years and over: 2.5% (male 162,157/female 256,489) (2011 est.) |
| Median age: | total: 16.9 years |
| Median age: | male: 16.7 years |
| Median age: | female: 17.1 years (2011 est.) |
| Population growth rate: | 3.085% (2011 est.) |
| Birth rate: | 43.59 births/1,000 population (2011 est.) |
| Death rate: | 12.74 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 6.2% annual rate of change (2010-15 est.) |
| Major cities - population: | OUAGADOUGOU (capital) 1.777 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 560 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 81.4 deaths/1,000 live births |
| Infant mortality rate: | male: 88.88 deaths/1,000 live births |
| Infant mortality rate: | female: 73.69 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 53.7 years |
| Life expectancy at birth: | male: 51.75 years |
| Life expectancy at birth: | female: 55.71 years (2011 est.) |
| Total fertility rate: | 6.14 children born/woman (2011 est.) |
| Health expenditures: | 6.4% of GDP (2009) |
| Physicians density: | 0.064 physicians/1,000 population (2008) |
| Hospital bed density: | 0.9 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95% of population |
| Drinking water source: | rural: 72% of population |
| Drinking water source: | total: 76% of population |
| unimproved: | urban: 5% of population |
| unimproved: | rural: 28% of population |
| unimproved: | total: 24% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33% of population |
| Sanitation facility access: | rural: 6% of population |
| Sanitation facility access: | total: 11% of population |
| unimproved: | urban: 67% of population |
| unimproved: | rural: 94% of population |
| unimproved: | total: 89% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 37.4% (2006) |
| Education expenditures: | 4.6% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 21.8% |
| Literacy: | male: 29.4% |
| Literacy: | female: 15.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2009) |
