| People and Society | Burkina Faso |
| --- | --- |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 60.5%, Catholic 19%, animist 15.3%, Protestant 4.2%, other 0.6%, none 0.4% |
| Population: | 17,275,115 (July 2012 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 45.7% (male 3,954,621/ female 3,935,367) |
| Age structure: | 15-64 years: 51.8% (male 4,474,547/ female 4,480,892) |
| Age structure: | 65 years and over: 2.5% (male 165,048/ female 264,640) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 17 years |
| Median age: | male: 16.8 years |
| Median age: | female: 17.2 years (2012 est.) |
| Population growth rate: | 3.073% (2012 est.) |
| Birth rate: | 43.2 births/1,000 population (2012 est.) |
| Death rate: | 12.47 deaths/1,000 population (July 2012 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2012 est.) |
| Urbanization: | urban population: 26% of total population (2010) |
| Urbanization: | rate of urbanization: 6.2% annual rate of change (2010-15 est.) |
| Major cities - population: | OUAGADOUGOU (capital) 1.777 million (2009) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 300 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 79.84 deaths/1,000 live births |
| Infant mortality rate: | male: 87.26 deaths/1,000 live births |
| Infant mortality rate: | female: 72.19 deaths/1,000 live births (2012 est.) |
| Life expectancy at birth: | total population: 54.07 years |
| Life expectancy at birth: | male: 52.09 years |
| Life expectancy at birth: | female: 56.1 years (2012 est.) |
| Total fertility rate: | 6.07 children born/woman (2012 est.) |
| Health expenditures: | 6.4% of GDP (2009) |
| Physicians density: | 0.064 physicians/1,000 population (2008) |
| Hospital bed density: | 0.9 beds/1,000 population (2006) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 33% of population |
| Sanitation facility access: | rural: 6% of population |
| Sanitation facility access: | total: 11% of population |
| unimproved: | urban: 67% of population |
| unimproved: | rural: 94% of population |
| unimproved: | total: 89% of population |
| HIV/AIDS - adult prevalence rate: | 1.2% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2009 est.) |
| HIV/AIDS - deaths: | 7,100 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Children under the age of 5 years underweight: | 37.4% (2006) |
| Education expenditures: | 4.6% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 21.8% |
| Literacy: | male: 29.4% |
| Literacy: | female: 15.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2009) |
