| People | Burkina Faso |
| --- | --- |
| Population: | 16,241,811 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 46.2% (male 3,646,661/female 3,621,648) |
| Age structure: | 15-64 years: 51.3% (male 4,025,917/female 4,054,865) |
| Age structure: | 65 years and over: 2.5% (male 156,895/female 240,246) (2010 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.6 years |
| Median age: | female: 17 years (2010 est.) |
| Population growth rate: | 3.095% (2010 est.) |
| Birth rate: | 43.98 births/1,000 population (2010 est.) |
| Death rate: | 13.02 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 20% of total population (2008) |
| Urbanization: | rate of urbanization: 5% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.64 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 82.98 deaths/1,000 live births |
| Infant mortality rate: | male: 90.53 deaths/1,000 live births |
| Infant mortality rate: | female: 75.21 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 53.32 years |
| Life expectancy at birth: | male: 51.39 years |
| Life expectancy at birth: | female: 55.31 years (2010 est.) |
| Total fertility rate: | 6.21 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.6% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 130,000 (2007 est.) |
| HIV/AIDS - deaths: | 9,200 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Religions: | Muslim 50%, indigenous beliefs 40%, Christian (mainly Roman Catholic) 10% |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 21.8% |
| Literacy: | male: 29.4% |
| Literacy: | female: 15.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2009) |
| Education expenditures: | 4.6% of GDP (2007) |
