| People and Society | BURKINA FASO |
| --- | --- |
| Nationality: | noun: Burkinabe (singular and plural) |
| Nationality: | adjective: Burkinabe |
| Ethnic groups: | Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani) |
| Languages: | French (official), native African languages belonging to Sudanic family spoken by 90% of the population |
| Religions: | Muslim 60.5%, Catholic 19%, animist 15.3%, Protestant 4.2%, other 0.6%, none 0.4% (2006 est.) |
| Population: | 18,931,686 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2015 est.) |
| Age structure: | 0-14 years: 45.2% (male 4,286,569/female 4,270,357) |
| Age structure: | 15-24 years: 20.08% (male 1,909,090/female 1,892,273) |
| Age structure: | 25-54 years: 29.13% (male 2,799,042/female 2,716,439) |
| Age structure: | 55-64 years: 3.14% (male 253,423/female 340,599) |
| Age structure: | 65 years and over: 2.45% (male 174,647/female 289,247) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 92.2% |
| population pyramid: | youth dependency ratio: 87.6% |
| population pyramid: | elderly dependency ratio: 4.6% |
| population pyramid: | potential support ratio: 21.7% (2015 est.) |
| Median age: | total: 17.1 years |
| Median age: | male: 17 years |
| Median age: | female: 17.3 years (2015 est.) |
| Population growth rate: | 3.03% (2015 est.) |
| Birth rate: | 42.03 births/1,000 population (2015 est.) |
| Death rate: | 11.72 deaths/1,000 population (2015 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 29.9% of total population (2015) |
| Urbanization: | rate of urbanization: 5.87% annual rate of change (2010-15 est.) |
| Major urban areas - population: | OUAGADOUGOU (capital) 2.741 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.74 male(s)/female |
| Sex ratio: | 65 years and over: 0.6 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 75.32 deaths/1,000 live births |
| Infant mortality rate: | male: 82.56 deaths/1,000 live births |
| Infant mortality rate: | female: 67.87 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 55.12 years |
| Life expectancy at birth: | male: 53.1 years |
| Life expectancy at birth: | female: 57.21 years (2015 est.) |
| Total fertility rate: | 5.86 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 16.2% (2010/11) |
| Health expenditures: | 6.4% of GDP (2013) |
| Physicians density: | 0.05 physicians/1,000 population (2010) |
| Hospital bed density: | 0.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.5% of population |
| Drinking water source: | rural: 75.8% of population |
| Drinking water source: | total: 82.3% of population |
| unimproved: | urban: 2.5% of population |
| unimproved: | rural: 24.2% of population |
| unimproved: | total: 17.7% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 50.4% of population |
| Sanitation facility access: | rural: 6.7% of population |
| Sanitation facility access: | total: 19.7% of population |
| unimproved: | urban: 49.6% of population |
| unimproved: | rural: 93.3% of population |
| unimproved: | total: 80.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.94% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 107,700 (2014 est.) |
| HIV/AIDS - deaths: | 3,800 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 5.2% (2014) |
| Children under the age of 5 years underweight: | 26.2% (2010) |
| Education expenditures: | 3.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 36% |
| Literacy: | male: 43% |
| Literacy: | female: 29.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2013) |
| Child labor - children ages 5-14: | total number: 1,521,006 |
| Child labor - children ages 5-14: | percentage: 38% (2006 est.) |
| Unemployment, youth ages 15-24: | total: 3.8% |
| Unemployment, youth ages 15-24: | male: 4.6% |
| Unemployment, youth ages 15-24: | female: 2.9% (2006 est.) |
