| People | Swaziland |
| --- | --- |
| Population: | 1,123,913 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2009 est.) |
| Age structure: | 0-14 years: 39.4% (male 223,420/female 219,420) |
| Age structure: | 15-64 years: 56.9% (male 308,251/female 331,623) |
| Age structure: | 65 years and over: 3.7% (male 15,261/female 25,938) (2009 est.) |
| Median age: | total: 18.8 years |
| Median age: | male: 18.2 years |
| Median age: | female: 19.5 years (2009 est.) |
| Population growth rate: | -0.459% (2009 est.) |
| Birth rate: | 26.25 births/1,000 population (2009 est.) |
| Death rate: | 30.83 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | NA (2009 est.) |
| Urbanization: | urban population: 25% of total population (2008) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.59 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 68.63 deaths/1,000 live births |
| Infant mortality rate: | male: 71.87 deaths/1,000 live births |
| Infant mortality rate: | female: 65.29 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 31.99 years |
| Life expectancy at birth: | male: 31.69 years |
| Life expectancy at birth: | female: 32.3 years (2009 est.) |
| Total fertility rate: | 3.24 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 26.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 190,000 (2007 est.) |
| HIV/AIDS - deaths: | 10,000 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Nationality: | noun: Swazi(s) |
| Nationality: | adjective: Swazi |
| Ethnic groups: | African 97%, European 3% |
| Religions: | Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Bahai, Methodist, Mormon, Jewish) 30% |
| Languages: | English (official, government business conducted in English), siSwati (official) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.6% |
| Literacy: | male: 82.6% |
| Literacy: | female: 80.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2005) |
| Education expenditures: | 7% of GDP (2005) |
