| People and Society | Eswatini |
| --- | --- |
| Population: | 1,087,200 (July 2018 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Nationality: | noun: liSwati (singular), emaSwati (plural); note - former term, Swazi(s), still used among English speakers |
| Nationality: | adjective: Swati; note - former term, Swazi, still used among English speakers |
| Ethnic groups: | African 97%, European 3% |
| Languages: | English (official, used for government business), siSwati (official) |
| Religions: | Christian 90% (Zionist - a blend of Christianity and indigenous ancestral worship - 40%, Roman Catholic 20%, other 30% - includes Anglican, Methodist, Mormon, Jehovah's Witness), Muslim 2%, other 8% (includes Baha'i, Buddhist, Hindu, indigenous, Jewish) (2015 est.) |
| Demographic profile: | Eswatini, a small, predominantly rural, landlocked country surrounded by South Africa and Mozambique, suffers from severe poverty and the worldâ€™s highest HIV/AIDS prevalence rate. A weak and deteriorating economy, high unemployment, rapid population growth, and an uneven distribution of resources all combine to worsen already persistent poverty and food insecurity, especially in rural areas. Erratic weather (frequent droughts and intermittent heavy rains and flooding), overuse of small plots, the overgrazing of cattle, and outdated agricultural practices reduce crop yields and further degrade the environment, exacerbating Eswatini's poverty and subsistence problems. Eswatini's extremely high HIV/AIDS prevalence rate â€“ more than 28% of adults have the disease â€“ compounds these issues. Agricultural production has declined due to HIV/AIDS, as the illness causes households to lose manpower and to sell livestock and other assets to pay for medicine and funerals. |
| Demographic profile: | Swazis, mainly men from the countryâ€™s rural south, have been migrating to South Africa to work in coal, and later gold, mines since the late 19th century. Although the number of miners abroad has never been high in absolute terms because of Eswatini's small population, the outflow has had important social and economic repercussions. The peak of mining employment in South Africa occurred during the 1980s. Cross-border movement has accelerated since the 1990s, as increasing unemployment has pushed more Swazis to look for work in South Africa (creating a "brain drain" in the health and educational sectors); southern Swazi men have continued to pursue mining, although the industry has downsized. Women now make up an increasing share of migrants and dominate cross-border trading in handicrafts, using the proceeds to purchase goods back in Eswatini. Much of todayâ€™s migration, however, is not work-related but focuses on visits to family and friends, tourism, and shopping. |
