| People | Swaziland |
| --- | --- |
| Population: | 1,354,051 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 38.6% (male 260,840/female 254,781) |
| Age structure: | 15-64 years: 57.9% (male 383,236/female 391,478) |
| Age structure: | 65 years and over: 3.5% (male 19,857/female 26,994) (2010 est.) |
| Median age: | total: 20.1 years |
| Median age: | male: 19.7 years |
| Median age: | female: 20.5 years (2010 est.) |
| Population growth rate: | 1.213% (2010 est.) |
| Birth rate: | 27.12 births/1,000 population (2010 est.) |
| Death rate: | 14.99 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 25% of total population (2008) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 66.71 deaths/1,000 live births |
| Infant mortality rate: | male: 70.76 deaths/1,000 live births |
| Infant mortality rate: | female: 62.54 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 47.97 years |
| Life expectancy at birth: | male: 48.14 years |
| Life expectancy at birth: | female: 47.8 years (2010 est.) |
| Total fertility rate: | 3.19 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 26.1% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 190,000 (2007 est.) |
| HIV/AIDS - deaths: | 10,000 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Nationality: | noun: Swazi(s) |
| Nationality: | adjective: Swazi |
| Ethnic groups: | African 97%, European 3% |
| Religions: | Zionist 40% (a blend of Christianity and indigenous ancestral worship), Roman Catholic 20%, Muslim 10%, other (includes Anglican, Bahai, Methodist, Mormon, Jewish) 30% |
| Languages: | English (official, government business conducted in English), siSwati (official) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.6% |
| Literacy: | male: 82.6% |
| Literacy: | female: 80.8% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2006) |
| Education expenditures: | 7.9% of GDP (2008) |
