| People and Society | Mexico |
| --- | --- |
| Nationality: | noun: Mexican(s) |
| Nationality: | adjective: Mexican |
| Ethnic groups: | mestizo (Amerindian-Spanish) 60%, Amerindian or predominantly Amerindian 30%, white 9%, other 1% |
| Languages: | Spanish only 92.7%, Spanish and indigenous languages 5.7%, indigenous only 0.8%, unspecified 0.8% |
| Languages: | note: indigenous languages include various Mayan, Nahuatl, and other regional languages (2005) |
| Religions: | Roman Catholic 82.7%, Protestant 1.6%, Jehovah's Witnesses 1.4%, other Evangelical Churches 5%, other 1.9%, none 4.7%, unspecified 2.7% (2000 census) |
| Population: | 116,220,947 (July 2013 est.) |
| Age structure: | 0-14 years: 27.4% (male 16,268,424/female 15,587,324) |
| Age structure: | 15-24 years: 18.1% (male 10,566,890/female 10,421,798) |
| Age structure: | 25-54 years: 40.7% (male 22,647,828/female 24,677,965) |
| Age structure: | 55-64 years: 6.9% (male 3,703,316/female 4,337,956) |
| Age structure: | 65 years and over: 6.9% (male 3,574,207/female 4,435,239) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.6 % |
| population pyramid: | youth dependency ratio: 43.7 % |
| population pyramid: | elderly dependency ratio: 9.8 % |
| population pyramid: | potential support ratio: 10.2 (2013) |
| Median age: | total: 27.7 years |
| Median age: | male: 26.6 years |
| Median age: | female: 28.8 years (2013 est.) |
| Population growth rate: | 1.07% (2013 est.) |
| Birth rate: | 18.61 births/1,000 population (2013 est.) |
| Death rate: | 4.94 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.99 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 78% of total population (2010) |
| Urbanization: | rate of urbanization: 1.2% annual rate of change (2010-15 est.) |
| Urbanization: | note: Mexico City is the second-largest urban agglomeration in the Western Hemisphere, after Sao Paulo (Brazil), but before New York-Newark (US) |
| Major urban areas - population: | MEXICO CITY (capital) 19.319 million; Guadalajara 4.338 million; Monterrey 3.838 million; Puebla 2.278 million; Tijuana 1.629 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.92 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 21.3 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2006 est.) |
| Maternal mortality rate: | 50 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 16.26 deaths/1,000 live births |
| Infant mortality rate: | male: 18.04 deaths/1,000 live births |
| Infant mortality rate: | female: 14.38 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 76.86 years |
| Life expectancy at birth: | male: 74.03 years |
| Life expectancy at birth: | female: 79.83 years (2013 est.) |
| Total fertility rate: | 2.25 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 70.9% (2006) |
| Health expenditures: | 6.4% of GDP (2009) |
| Physicians density: | 1.96 physicians/1,000 population (2009) |
| Hospital bed density: | 1.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97% of population |
| Drinking water source: | rural: 91% of population |
| Drinking water source: | total: 96% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 9% of population |
| unimproved: | total: 4% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 87% of population |
| Sanitation facility access: | rural: 79% of population |
| Sanitation facility access: | total: 85% of population |
| unimproved: | urban: 13% of population |
| unimproved: | rural: 21% of population |
| unimproved: | total: 15% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 220,000 (2009 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea and hepatitis A |
| Major infectious diseases: | vectorborne disease: dengue fever (2013) |
| Obesity - adult prevalence rate: | 32.1% (2008) |
| Children under the age of 5 years underweight: | 3.4% (2006) |
| Education expenditures: | 5.3% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.5% |
| Literacy: | male: 94.8% |
| Literacy: | female: 92.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2011) |
| Child labor - children ages 5-14: | total number: 1,105,617 |
| Child labor - children ages 5-14: | percentage: 5 % (2009 est.) |
| Unemployment, youth ages 15-24: | total: 9.8% |
| Unemployment, youth ages 15-24: | male: 9.5% |
| Unemployment, youth ages 15-24: | female: 10.4% (2011) |
