| People and Society | SERBIA |
| --- | --- |
| Population: | 7,111,024 |
| Population: | note: does not include the population of Kosovo (July 2017 est.) |
| Nationality: | noun: Serb(s) |
| Nationality: | adjective: Serbian |
| Ethnic groups: | Serb 83.3%, Hungarian 3.5%, Romani 2.1%, Bosniak 2%, other 5.7%, undeclared or unknown 3.4% (2011 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 5–11% of Serbia's population |
| Languages: | Serbian (official) 88.1%, Hungarian 3.4%, Bosnian 1.9%, Romani 1.4%, other 3.4%, undeclared or unknown 1.8% |
| Languages: | note: Serbian, Hungarian, Slovak, Romanian, Croatian, and Ruthenian (Rusyn) are official in the Autonomous Province of Vojvodina (2011 est.) |
| Religions: | Orthodox 84.6%, Catholic 5%, Muslim 3.1%, Protestant 1%, atheist 1.1%, other 0.8% (includes agnostics, other Christians, Eastern religionists, Jewish), undeclared or unknown 4.5% (2011 est.) |
| Age structure: | 0-14 years: 14.5% (male 531,524/female 499,715) |
| Age structure: | 15-24 years: 11.26% (male 413,046/female 387,697) |
| Age structure: | 25-54 years: 41.32% (male 1,483,392/female 1,454,931) |
| Age structure: | 55-64 years: 14.49% (male 496,944/female 533,329) |
| Age structure: | 65 years and over: 18.43% (male 541,569/female 768,877) (2017 est.) |
| Dependency ratios: | total dependency ratio: 49.2 |
| Dependency ratios: | youth dependency ratio: 24.9 |
| Dependency ratios: | elderly dependency ratio: 24.3 |
| Dependency ratios: | potential support ratio: 4.1 |
| Dependency ratios: | note: data include Kosovo (2015 est.) |
| Median age: | total: 42.6 years |
| Median age: | male: 40.9 years |
| Median age: | female: 44.3 years (2017 est.) |
| Population growth rate: | -0.46% (2017 est.) |
| Birth rate: | 9 births/1,000 population (2017 est.) |
| Death rate: | 13.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 55.8% of total population (2017) |
| Urbanization: | rate of urbanization: -0.29% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Kosovo |
| Major urban areas - population: | BELGRADE (capital) 1.182 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.9 years |
| Mother's mean age at first birth: | note: data do not cover Kosovo or Metohija (2014 est.) |
| Maternal mortality rate: | 17 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 5.8 deaths/1,000 live births |
| Infant mortality rate: | male: 6.7 deaths/1,000 live births |
| Infant mortality rate: | female: 4.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.7 years |
| Life expectancy at birth: | male: 72.8 years |
| Life expectancy at birth: | female: 78.8 years (2017 est.) |
| Total fertility rate: | 1.44 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 58.4% (2014) |
| Health expenditures: | 10.4% of GDP (2014) |
| Physicians density: | 2.46 physicians/1,000 population (2014) |
| Hospital bed density: | 5.4 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.4% of population |
| Drinking water source: | rural: 98.9% of population |
| Drinking water source: | total: 99.2% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 1.1% of population |
| unimproved: | total: 0.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.2% of population |
| Sanitation facility access: | rural: 94.2% of population |
| Sanitation facility access: | total: 96.4% of population |
| unimproved: | urban: 1.8% of population |
| unimproved: | rural: 5.8% of population |
| unimproved: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,700 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Obesity - adult prevalence rate: | 21.5% (2016) |
| Children under the age of 5 years underweight: | 1.8% (2014) |
| Education expenditures: | 4.2% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.2% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 43.2% |
| Unemployment, youth ages 15-24: | male: 40.1% |
| Unemployment, youth ages 15-24: | female: 48.2% (2015 est.) |
