| People and Society | Serbia |
| --- | --- |
| Population: | 7,078,110 (July 2018 est.) |
| Population: | note: does not include the population of Kosovo |
| Nationality: | noun: Serb(s) |
| Nationality: | adjective: Serbian |
| Ethnic groups: | Serb 83.3%, Hungarian 3.5%, Romani 2.1%, Bosniak 2%, other 5.7%, undeclared or unknown 3.4% (2011 est.) |
| Ethnic groups: | note: most ethnic Albanians boycotted the 2011 census; Romani populations are usually underestimated in official statistics and may represent 5â€“11% of Serbia's population |
| Languages: | Serbian (official) 88.1%, Hungarian 3.4%, Bosnian 1.9%, Romani 1.4%, other 3.4%, undeclared or unknown 1.8% (2011 est.) |
| Languages: | note: Serbian, Hungarian, Slovak, Romanian, Croatian, and Ruthenian (Rusyn) are official in the Autonomous Province of Vojvodina; most ethnic Albanians boycotted the 2011 census |
| Religions: | Orthodox 84.6%, Catholic 5%, Muslim 3.1%, Protestant 1%, atheist 1.1%, other 0.8% (includes agnostics, other Christians, Eastern, Jewish), undeclared or unknown 4.5% (2011 est.) |
| Religions: | note: most ethnic Albanians boycotted the 2011 census |
| Age structure: | 0-14 years: 14.35% (male 523,473 /female 492,339) |
| Age structure: | 15-24 years: 11.19% (male 408,379 /female 383,385) |
| Age structure: | 25-54 years: 41.27% (male 1,475,243 /female 1,445,935) |
| Age structure: | 55-64 years: 14.21% (male 485,849 /female 520,126) |
| Age structure: | 65 years and over: 18.98% (male 557,307 /female 786,074) (2018 est.) |
| Dependency ratios: | total dependency ratio: 49.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 24.9 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 24.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 4.1 (2015 est.) |
| Dependency ratios: | note: data include Kosovo |
| Median age: | total: 42.8 years (2018 est.) |
| Median age: | male: 41.2 years |
| Median age: | female: 44.5 years |
| Population growth rate: | -0.47% (2018 est.) |
| Birth rate: | 8.9 births/1,000 population (2018 est.) |
| Death rate: | 13.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Urbanization: | urban population: 56.3% of total population (2019) |
| Urbanization: | rate of urbanization: -0.07% annual rate of change (2015-20 est.) |
| Urbanization: | note: data include Kosovo |
| Major urban areas - population: | 1.394 million BELGRADE (capital) (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 27.9 years (2014 est.) |
| Mother's mean age at first birth: | note: data do not cover Kosovo or Metohija |
| Maternal mortality rate: | 12 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 5.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 6.6 deaths/1,000 live births |
| Infant mortality rate: | female: 4.8 deaths/1,000 live births |
| Life expectancy at birth: | total population: 75.9 years (2018 est.) |
| Life expectancy at birth: | male: 73 years |
| Life expectancy at birth: | female: 79 years |
| Total fertility rate: | 1.44 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 58.4% (2014) |
| Drinking water source: | improved: urban: 99.4% of population |
| Drinking water source: | rural: 98.9% of population |
| Drinking water source: | total: 99.2% of population |
| Drinking water source: | unimproved: urban: 0.6% of population |
| Drinking water source: | rural: 1.1% of population |
| Drinking water source: | total: 0.8% of population (2015 est.) |
| Current Health Expenditure: | 9.1% (2016) |
| Physicians density: | 3.13 physicians/1,000 population (2016) |
| Hospital bed density: | 5.7 beds/1,000 population (2012) |
| Sanitation facility access: | improved: urban: 98.2% of population (2015 est.) |
| Sanitation facility access: | rural: 94.2% of population (2015 est.) |
| Sanitation facility access: | total: 96.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 1.8% of population (2015 est.) |
| Sanitation facility access: | rural: 5.8% of population (2015 est.) |
| Sanitation facility access: | total: 3.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,000 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea (2016) |
| Obesity - adult prevalence rate: | 21.5% (2016) |
| Children under the age of 5 years underweight: | 1.8% (2014) |
| Education expenditures: | 4% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.8% |
| Literacy: | male: 99.5% |
| Literacy: | female: 98.2% (2016) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2017) |
| Unemployment, youth ages 15-24: | total: 29.7% |
| Unemployment, youth ages 15-24: | male: 28.3% |
| Unemployment, youth ages 15-24: | female: 32% (2018 est.) |
