| People and Society | NEW CALEDONIA |
| --- | --- |
| Population: | 279,070 (July 2017 est.) |
| Nationality: | noun: New Caledonian(s) |
| Nationality: | adjective: New Caledonian |
| Ethnic groups: | Kanak 40.3%, European 29.2%, Wallisian, Futunian 8.7%, Tahitian 2%, Indonesian 1.6%, Vietnamese 1%, Ni-Vanuatu 0.9%, other 16.2% (2009 est.) |
| Languages: | French (official), 33 Melanesian-Polynesian dialects |
| Religions: | Roman Catholic 60%, Protestant 30%, other 10% |
| Age structure: | 0-14 years: 22.46% (male 32,025/female 30,648) |
| Age structure: | 15-24 years: 16.44% (male 23,438/female 22,438) |
| Age structure: | 25-54 years: 43.5% (male 61,169/female 60,232) |
| Age structure: | 55-64 years: 8.4% (male 11,352/female 12,097) |
| Age structure: | 65 years and over: 9.2% (male 11,396/female 14,275) (2017 est.) |
| Dependency ratios: | total dependency ratio: 48.3 |
| Dependency ratios: | youth dependency ratio: 33.9 |
| Dependency ratios: | elderly dependency ratio: 14.4 |
| Dependency ratios: | potential support ratio: 6.9 (2015 est.) |
| Median age: | total: 32 years |
| Median age: | male: 31.2 years |
| Median age: | female: 32.7 years (2017 est.) |
| Population growth rate: | 1.33% (2017 est.) |
| Birth rate: | 15 births/1,000 population (2017 est.) |
| Death rate: | 5.7 deaths/1,000 population (2017 est.) |
| Net migration rate: | 3.9 migrant(s)/1,000 population |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia (2017 est.) |
| Population distribution: | most of the populace lives in the southern part of the main island, in and around the capital of Noumea |
| Urbanization: | urban population: 71.2% of total population (2017) |
| Urbanization: | rate of urbanization: 1.91% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NOUMEA (capital) 181,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.94 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 5.2 deaths/1,000 live births |
| Infant mortality rate: | male: 6.1 deaths/1,000 live births |
| Infant mortality rate: | female: 4.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.9 years |
| Life expectancy at birth: | male: 73.9 years |
| Life expectancy at birth: | female: 82 years (2017 est.) |
| Total fertility rate: | 1.93 children born/woman (2017 est.) |
| Physicians density: | 2.22 physicians/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.5% of population |
| Drinking water source: | rural: 98.5% of population |
| Drinking water source: | total: 98.5% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 1.5% of population |
| unimproved: | total: 1.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.9% |
| Literacy: | male: 97.3% |
| Literacy: | female: 96.5% (2015 est.) |
