| People and Society | DJIBOUTI |
| --- | --- |
| Nationality: | noun: Djiboutian(s) |
| Nationality: | adjective: Djiboutian |
| Ethnic groups: | Somali 60%, Afar 35%, other 5% (includes French, Arab, Ethiopian, and Italian) |
| Languages: | French (official), Arabic (official), Somali, Afar |
| Religions: | Muslim 94%, Christian 6% |
| Population: | 828,324 (July 2015 est.) |
| Age structure: | 0-14 years: 32.31% (male 134,166/female 133,479) |
| Age structure: | 15-24 years: 21.82% (male 85,021/female 95,706) |
| Age structure: | 25-54 years: 37.59% (male 129,382/female 182,021) |
| Age structure: | 55-64 years: 4.67% (male 17,970/female 20,689) |
| Age structure: | 65 years and over: 3.61% (male 13,422/female 16,468) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 58.5% |
| population pyramid: | youth dependency ratio: 51.9% |
| population pyramid: | elderly dependency ratio: 6.6% |
| population pyramid: | potential support ratio: 15.1% (2015 est.) |
| Median age: | total: 23.2 years |
| Median age: | male: 21.5 years |
| Median age: | female: 24.5 years (2015 est.) |
| Population growth rate: | 2.2% (2015 est.) |
| Birth rate: | 23.65 births/1,000 population (2015 est.) |
| Death rate: | 7.73 deaths/1,000 population (2015 est.) |
| Net migration rate: | 6.06 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 77.3% of total population (2015) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DJIBOUTI (capital) 529,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.89 male(s)/female |
| Sex ratio: | 25-54 years: 0.71 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.85 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 48.7 deaths/1,000 live births |
| Infant mortality rate: | male: 55.79 deaths/1,000 live births |
| Infant mortality rate: | female: 41.39 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 62.79 years |
| Life expectancy at birth: | male: 60.28 years |
| Life expectancy at birth: | female: 65.37 years (2015 est.) |
| Total fertility rate: | 2.39 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 19% (2012) |
| Health expenditures: | 8.9% of GDP (2013) |
| Physicians density: | 0.23 physicians/1,000 population (2006) |
| Hospital bed density: | 1.4 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 97.4% of population |
| Drinking water source: | rural: 64.7% of population |
| Drinking water source: | total: 90% of population |
| unimproved: | urban: 2.6% of population |
| unimproved: | rural: 35.3% of population |
| unimproved: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 59.8% of population |
| Sanitation facility access: | rural: 5.1% of population |
| Sanitation facility access: | total: 47.4% of population |
| unimproved: | urban: 40.2% of population |
| unimproved: | rural: 94.9% of population |
| unimproved: | total: 52.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.59% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,900 (2014 est.) |
| HIV/AIDS - deaths: | 600 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 8.5% (2014) |
| Children under the age of 5 years underweight: | 29.8% (2012) |
| Education expenditures: | 4.5% of GDP (2010) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2011) |
| Child labor - children ages 5-14: | total number: 13,176 |
| Child labor - children ages 5-14: | percentage: 8% (2006 est.) |
