| People and Society | Djibouti |
| --- | --- |
| Nationality: | noun: Djiboutian(s) |
| Nationality: | adjective: Djiboutian |
| Ethnic groups: | Somali 60%, Afar 35%, other 5% (includes French, Arab, Ethiopian, and Italian) |
| Languages: | French (official), Arabic (official), Somali, Afar |
| Religions: | Muslim 94%, Christian 6% |
| Population: | 792,198 (July 2013 est.) |
| Age structure: | 0-14 years: 33.6% (male 133,401/female 132,836) |
| Age structure: | 15-24 years: 22% (male 82,174/female 92,321) |
| Age structure: | 25-54 years: 36.3% (male 119,588/female 167,711) |
| Age structure: | 55-64 years: 4.6% (male 17,416/female 19,269) |
| Age structure: | 65 years and over: 3.5% (male 12,352/female 15,130) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 60.5 % |
| population pyramid: | youth dependency ratio: 54.1 % |
| population pyramid: | elderly dependency ratio: 6.4 % |
| population pyramid: | potential support ratio: 15.7 (2013) |
| Median age: | total: 22.4 years |
| Median age: | male: 20.8 years |
| Median age: | female: 23.7 years (2013 est.) |
| Population growth rate: | 2.26% (2013 est.) |
| Birth rate: | 24.5 births/1,000 population (2013 est.) |
| Death rate: | 7.96 deaths/1,000 population (2013 est.) |
| Net migration rate: | 6.04 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 77.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.96% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DJIBOUTI (capital) 496,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.89 male(s)/female |
| Sex ratio: | 25-54 years: 0.72 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.86 male(s)/female (2013 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 51.77 deaths/1,000 live births |
| Infant mortality rate: | male: 59.2 deaths/1,000 live births |
| Infant mortality rate: | female: 44.11 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 61.99 years |
| Life expectancy at birth: | male: 59.52 years |
| Life expectancy at birth: | female: 64.52 years (2013 est.) |
| Total fertility rate: | 2.55 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 17.8% (2006) |
| Health expenditures: | 7.9% of GDP (2011) |
| Physicians density: | 0.23 physicians/1,000 population (2006) |
| Hospital bed density: | 1.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 54% of population |
| Drinking water source: | total: 88% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 46% of population |
| unimproved: | total: 12% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 63% of population |
| Sanitation facility access: | rural: 10% of population |
| Sanitation facility access: | total: 50% of population |
| unimproved: | urban: 37% of population |
| unimproved: | rural: 90% of population |
| unimproved: | total: 50% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 2.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,000 (2009 est.) |
| HIV/AIDS - deaths: | 1,000 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 9.4% (2008) |
| Children under the age of 5 years underweight: | 29.6% (2006) |
| Education expenditures: | 8.4% of GDP (2007) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 67.9% |
| Literacy: | male: 78% |
| Literacy: | female: 58.4% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 6 years |
| School life expectancy (primary to tertiary education): | male: 6 years |
| School life expectancy (primary to tertiary education): | female: 5 years (2011) |
| Child labor - children ages 5-14: | total number: 13,176 |
| Child labor - children ages 5-14: | percentage: 8 % (2006 est.) |
