| People and Society | Saint Vincent and the Grenadines |
| --- | --- |
| Nationality: | noun: Saint Vincentian(s) or Vincentian(s) |
| Nationality: | adjective: Saint Vincentian or Vincentian |
| Ethnic groups: | black 66%, mixed 19%, East Indian 6%, European 4%, Carib Amerindian 2%, other 3% |
| Languages: | English, French patois |
| Religions: | Protestant 75% (Anglican 47%, Methodist 28%), Roman Catholic 13%, other (includes Hindu, Seventh-Day Adventist, other Protestant) 12% |
| Population: | 102,918 (July 2014 est.) |
| Age structure: | 0-14 years: 22.9% (male 11,858/female 11,661) |
| Age structure: | 15-24 years: 16.7% (male 8,687/female 8,528) |
| Age structure: | 25-54 years: 42.6% (male 22,781/female 21,065) |
| Age structure: | 55-64 years: 9.2% (male 4,873/female 4,634) |
| Age structure: | 65 years and over: 8.4% (male 4,083/female 4,748) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 47.1 % |
| population pyramid: | youth dependency ratio: 36.6 % |
| population pyramid: | elderly dependency ratio: 10.5 % |
| population pyramid: | potential support ratio: 9.5 (2014 est.) |
| Median age: | total: 31.9 years |
| Median age: | male: 32 years |
| Median age: | female: 31.7 years (2014 est.) |
| Population growth rate: | -0.29% (2014 est.) |
| Birth rate: | 13.85 births/1,000 population (2014 est.) |
| Death rate: | 7.12 deaths/1,000 population (2014 est.) |
| Net migration rate: | -9.6 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 49.3% of total population (2011) |
| Urbanization: | rate of urbanization: 0.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KINGSTOWN (capital) 31,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 13.07 deaths/1,000 live births |
| Infant mortality rate: | male: 14.24 deaths/1,000 live births |
| Infant mortality rate: | female: 11.87 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.86 years |
| Life expectancy at birth: | male: 72.9 years |
| Life expectancy at birth: | female: 76.88 years (2014 est.) |
| Total fertility rate: | 1.84 children born/woman (2014 est.) |
| Health expenditures: | 4.9% of GDP (2011) |
| Physicians density: | 0.53 physicians/1,000 population (2001) |
| Hospital bed density: | 2.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.1% of population |
| Drinking water source: | rural: 95.1% of population |
| Drinking water source: | total: 95.1% of population |
| unimproved: | urban: 4.9% of population |
| unimproved: | rural: 4.9% of population |
| unimproved: | total: 4.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76.1% of population |
| Sanitation facility access: | rural: 76.1% of population |
| Sanitation facility access: | 76.1% of population |
| unimproved: | urban: 23.9% of population |
| unimproved: | rural: 23.9% of population |
| unimproved: | total: 23.9% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 23.4% (2008) |
| Education expenditures: | 5.1% of GDP (2010) |
| Literacy: | definition: age 15 and over has ever attended school |
| Literacy: | total population: 96% |
| Literacy: | male: 96% |
| Literacy: | female: 96% (1970 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2004) |
