| People and Society | Saint Vincent and the Grenadines |
| --- | --- |
| Population: | 101,844 (July 2018 est.) |
| Nationality: | noun: Saint Vincentian(s) or Vincentian(s) |
| Nationality: | adjective: Saint Vincentian or Vincentian |
| Ethnic groups: | African descent 71.2%, mixed 23%, indigenous 3%, East Indian/Indian 1.1%, European 1.5%, other .2% (2012 est.) |
| Languages: | English, Vincentian Creole English, French patois |
| Religions: | Protestant 75% (Pentecostal 27.6%, Anglican 13.9%, Seventh Day Adventist 11.6%,Â  Baptist 8.9%, Methodist 8.7%,Â Evangelical 3.8%, Salvation Army .3%, Presbyterian/Congregational .3%), Roman Catholic 6.3%,Â  Rastafarian 1.1%, Jehovah's Witness 0.8%, other 4.7%, none 7.5%, unspecified 4.7% (2012 est.) |
| Age structure: | 0-14 years: 20.87% (male 10,725 /female 10,534) |
| Age structure: | 15-24 years: 15.58% (male 8,003 /female 7,865) |
| Age structure: | 25-54 years: 42.7% (male 22,567 /female 20,924) |
| Age structure: | 55-64 years: 11.03% (male 5,792 /female 5,437) |
| Age structure: | 65 years and over: 9.82% (male 4,715 /female 5,282) (2018 est.) |
| Dependency ratios: | total dependency ratio: 46.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 36 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 10.8 (2015 est.) |
| Dependency ratios: | potential support ratio: 9.3 (2015 est.) |
| Median age: | total: 34.2 years (2018 est.) |
| Median age: | male: 34.3 years |
| Median age: | female: 34 years |
| Population growth rate: | -0.23% (2018 est.) |
| Birth rate: | 13 births/1,000 population (2018 est.) |
| Death rate: | 7.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -8 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the population is concentrated in and around the capital of Kingstown |
| Urbanization: | urban population: 52.6% of total population (2019) |
| Urbanization: | rate of urbanization: 1.03% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 27,000 KINGSTOWN (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1.07 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2018 est.) |
| Maternal mortality rate: | 98 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 12.7 deaths/1,000 live births |
| Infant mortality rate: | female: 10.6 deaths/1,000 live births |
| Life expectancy at birth: | total population: 75.8 years (2018 est.) |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 77.9 years |
| Total fertility rate: | 1.78 children born/woman (2018 est.) |
| Drinking water source: | improved: urban: 95.1% of population |
| Drinking water source: | rural: 95.1% of population |
| Drinking water source: | total: 95.1% of population |
| Drinking water source: | unimproved: urban: 4.9% of population |
| Drinking water source: | rural: 4.9% of population |
| Drinking water source: | total: 4.9% of population (2015 est.) |
| Current Health Expenditure: | 3.6% (2016) |
| Physicians density: | 0.66 physicians/1,000 population (2010) |
| Hospital bed density: | 2.6 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 76.1% of population (2007 est.) |
| Sanitation facility access: | rural: 76.1% of population (2007 est.) |
| Sanitation facility access: | total: 76.1% of population (2007 est.) |
| Sanitation facility access: | unimproved: urban: 23.9% of population (2007 est.) |
| Sanitation facility access: | rural: 23.9% of population (2007 est.) |
| Sanitation facility access: | total: 23.9% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2018) |
| HIV/AIDS - people living with HIV/AIDS: | 1,200 (2018) |
| HIV/AIDS - deaths: | <100 (2018) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 23.7% (2016) |
| Education expenditures: | 5.8% of GDP (2017) |
