| People and Society | SAINT VINCENT AND THE GRENADINES |
| --- | --- |
| Population: | 102,350 (July 2016 est.) |
| Nationality: | noun: Saint Vincentian(s) or Vincentian(s) |
| Nationality: | adjective: Saint Vincentian or Vincentian |
| Ethnic groups: | black 66%, mixed 19%, East Indian 6%, European 4%, Carib Amerindian 2%, other 3% |
| Languages: | English, French patois |
| Religions: | Protestant 75% (Anglican 47%, Methodist 28%), Roman Catholic 13%, other (includes Hindu, Seventh-Day Adventist, other Protestant) 12% |
| Age structure: | 0-14 years: 21.78% (male 11,246/female 11,050) |
| Age structure: | 15-24 years: 16.28% (male 8,407/female 8,258) |
| Age structure: | 25-54 years: 42.64% (male 22,668/female 20,975) |
| Age structure: | 55-64 years: 10.2% (male 5,363/female 5,076) |
| Age structure: | 65 years and over: 9.09% (male 4,347/female 4,960) (2016 est.) |
| Dependency ratios: | total dependency ratio: 46.8% |
| Dependency ratios: | youth dependency ratio: 36% |
| Dependency ratios: | elderly dependency ratio: 10.8% |
| Dependency ratios: | potential support ratio: 9.3% (2015 est.) |
| Median age: | total: 33 years |
| Median age: | male: 33.2 years |
| Median age: | female: 32.9 years (2016 est.) |
| Population growth rate: | -0.26% (2016 est.) |
| Birth rate: | 13.4 births/1,000 population (2016 est.) |
| Death rate: | 7.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | -8.8 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | most of the population is concentrated in and around Kingstown |
| Urbanization: | urban population: 50.6% of total population (2015) |
| Urbanization: | rate of urbanization: 0.72% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KINGSTOWN (capital) 27,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12.3 deaths/1,000 live births |
| Infant mortality rate: | male: 13.5 deaths/1,000 live births |
| Infant mortality rate: | female: 11.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.3 years |
| Life expectancy at birth: | male: 73.3 years |
| Life expectancy at birth: | female: 77.4 years (2016 est.) |
| Total fertility rate: | 1.81 children born/woman (2016 est.) |
| Health expenditures: | 8.6% of GDP (2014) |
| Hospital bed density: | 5.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.1% of population |
| Drinking water source: | rural: 95.1% of population |
| Drinking water source: | total: 95.1% of population |
| unimproved: | urban: 4.9% of population |
| unimproved: | rural: 4.9% of population |
| unimproved: | total: 4.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76.1% of population |
| Sanitation facility access: | rural: 76.1% of population |
| Sanitation facility access: | total: 76.1% of population |
| unimproved: | urban: 23.9% of population |
| unimproved: | rural: 23.9% of population |
| unimproved: | total: 23.9% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 24.1% (2014) |
| Education expenditures: | 5.1% of GDP (2010) |
| Unemployment, youth ages 15-24: | total: 33.8% |
| Unemployment, youth ages 15-24: | male: 27.8% |
| Unemployment, youth ages 15-24: | female: 41.4% (2008 est.) |
