| People and Society | SAINT VINCENT AND THE GRENADINES |
| --- | --- |
| Population: | 102,089 (July 2017 est.) |
| Nationality: | noun: Saint Vincentian(s) or Vincentian(s) |
| Nationality: | adjective: Saint Vincentian or Vincentian |
| Ethnic groups: | black 66%, mixed 19%, East Indian 6%, European 4%, Carib Amerindian 2%, other 3% |
| Languages: | English, French patois |
| Religions: | Protestant 75% (Anglican 47%, Methodist 28%), Roman Catholic 13%, other (includes Hindu, Seventh-Day Adventist, other Protestant) 12% |
| Age structure: | 0-14 years: 21.3% (male 10,970/female 10,779) |
| Age structure: | 15-24 years: 15.97% (male 8,226/female 8,080) |
| Age structure: | 25-54 years: 42.66% (male 22,608/female 20,939) |
| Age structure: | 55-64 years: 10.64% (male 5,595/female 5,272) |
| Age structure: | 65 years and over: 9.42% (male 4,515/female 5,105) (2017 est.) |
| Dependency ratios: | total dependency ratio: 46.8 |
| Dependency ratios: | youth dependency ratio: 36 |
| Dependency ratios: | elderly dependency ratio: 10.8 |
| Dependency ratios: | potential support ratio: 9.3 (2015 est.) |
| Median age: | total: 33.6 years |
| Median age: | male: 33.8 years |
| Median age: | female: 33.4 years (2017 est.) |
| Population growth rate: | -0.25% (2017 est.) |
| Birth rate: | 13.2 births/1,000 population (2017 est.) |
| Death rate: | 7.3 deaths/1,000 population (2017 est.) |
| Net migration rate: | -8.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population is concentrated in and around the capital of Kingstown |
| Urbanization: | urban population: 51.2% of total population (2017) |
| Urbanization: | rate of urbanization: 0.7% annual rate of change (2015-20 est.) |
| Major urban areas - population: | KINGSTOWN (capital) 27,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.08 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.87 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2016 est.) |
| Maternal mortality rate: | 45 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 12 deaths/1,000 live births |
| Infant mortality rate: | male: 13.1 deaths/1,000 live births |
| Infant mortality rate: | female: 10.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.5 years |
| Life expectancy at birth: | male: 73.5 years |
| Life expectancy at birth: | female: 77.6 years (2017 est.) |
| Total fertility rate: | 1.8 children born/woman (2017 est.) |
| Health expenditures: | 8.6% of GDP (2014) |
| Hospital bed density: | 5.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.1% of population |
| Drinking water source: | rural: 95.1% of population |
| Drinking water source: | total: 95.1% of population |
| unimproved: | urban: 4.9% of population |
| unimproved: | rural: 4.9% of population |
| unimproved: | total: 4.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 76.1% of population |
| Sanitation facility access: | rural: 76.1% of population |
| Sanitation facility access: | total: 76.1% of population |
| unimproved: | urban: 23.9% of population |
| unimproved: | rural: 23.9% of population |
| unimproved: | total: 23.9% of population (2007 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 23.7% (2016) |
| Education expenditures: | 5.1% of GDP (2010) |
| Unemployment, youth ages 15-24: | total: 33.8% |
| Unemployment, youth ages 15-24: | male: 27.8% |
| Unemployment, youth ages 15-24: | female: 41.4% (2008 est.) |
