| People and Society | Yemen |
| --- | --- |
| Nationality: | noun: Yemeni(s) |
| Nationality: | adjective: Yemeni |
| Ethnic groups: | predominantly Arab; but also Afro-Arab, South Asians, Europeans |
| Languages: | Arabic (official) |
| Religions: | Muslim (Islam - official) including Shaf'i (Sunni) and Zaydi (Shia), small numbers of Jewish, Christian, and Hindu |
| Population: | 25,408,288 (July 2013 est.) |
| Age structure: | 0-14 years: 42% (male 5,433,121/female 5,235,891) |
| Age structure: | 15-24 years: 21.1% (male 2,720,793/female 2,640,652) |
| Age structure: | 25-54 years: 30.6% (male 3,974,091/female 3,797,543) |
| Age structure: | 55-64 years: 3.7% (male 446,293/female 490,628) |
| Age structure: | 65 years and over: 2.6% (male 315,141/female 354,135) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 75.6 % |
| population pyramid: | youth dependency ratio: 70.6 % |
| population pyramid: | elderly dependency ratio: 5.1 % |
| population pyramid: | potential support ratio: 19.8 (2013) |
| Median age: | total: 18.5 years |
| Median age: | male: 18.4 years |
| Median age: | female: 18.6 years (2013 est.) |
| Population growth rate: | 2.5% (2013 est.) |
| Birth rate: | 31.63 births/1,000 population (2013 est.) |
| Death rate: | 6.64 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 32.3% of total population (2011) |
| Urbanization: | rate of urbanization: 4.78% annual rate of change (2010-15 est.) |
| Major urban areas - population: | SANAA (capital) 2.229 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.92 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 19.2 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (1997 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 51.93 deaths/1,000 live births |
| Infant mortality rate: | male: 56.33 deaths/1,000 live births |
| Infant mortality rate: | female: 47.31 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 64.47 years |
| Life expectancy at birth: | male: 62.39 years |
| Life expectancy at birth: | female: 66.65 years (2013 est.) |
| Total fertility rate: | 4.27 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 27.7% (2006) |
| Health expenditures: | 5.5% of GDP (2011) |
| Physicians density: | 0.2 physicians/1,000 population (2010) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 72% of population |
| Drinking water source: | rural: 47% of population |
| Drinking water source: | total: 55% of population |
| unimproved: | urban: 28% of population |
| unimproved: | rural: 53% of population |
| unimproved: | total: 45% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 34% of population |
| Sanitation facility access: | total: 53% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 66% of population |
| unimproved: | total: 47% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 12,000 (2001 est.) |
| HIV/AIDS - deaths: | NA |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact disease: schistosomiasis (2013) |
| Obesity - adult prevalence rate: | 14.5% (2008) |
| Children under the age of 5 years underweight: | 43.1% (2003) |
| Education expenditures: | 5.2% of GDP (2008) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 65.3% |
| Literacy: | male: 82.1% |
| Literacy: | female: 48.5% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2005) |
| Child labor - children ages 5-14: | total number: 1,334,288 |
| Child labor - children ages 5-14: | percentage: 23 % (2006 est.) |
