| People and Society | Yemen |
| --- | --- |
| Population: | 28,667,230 (July 2018 est.) |
| Nationality: | noun: Yemeni(s) |
| Nationality: | adjective: Yemeni |
| Ethnic groups: | predominantly Arab; but also Afro-Arab, South Asian, European |
| Languages: | Arabic (official) |
| Languages: | note: a distinct Socotri language is widely used on Socotra Island and Archipelago; Mahri is still fairly widely spoken in eastern Yemen |
| Religions: | Muslim 99.1% (official; virtually all are citizens, an estimated 65% are Sunni and 35% are Shia), other 0.9% (includes Jewish, Baha'i, Hindu, and Christian; many are refugees or temporary foreign residents) (2010 est.) |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 39.16% (male 5,711,709 /female 5,513,526) |
| Age structure: | 15-24 years: 21.26% (male 3,089,817 /female 3,005,693) |
| Age structure: | 25-54 years: 32.78% (male 4,805,059 /female 4,591,811) |
| Age structure: | 55-64 years: 4% (male 523,769 /female 623,100) |
| Age structure: | 65 years and over: 2.8% (male 366,891 /female 435,855) (2018 est.) |
| Dependency ratios: | total dependency ratio: 76.8 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 71.7 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.8 (2015 est.) |
| Median age: | total: 19.8 years (2018 est.) |
| Median age: | male: 19.6 years |
| Median age: | female: 19.9 years |
| Population growth rate: | 2.17% (2018 est.) |
| Birth rate: | 27.6 births/1,000 population (2018 est.) |
| Death rate: | 5.9 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the vast majority of the population is found in the Asir Mountains (part of the larger Sarawat Mountain system), located in the far western region of the country |
| Urbanization: | urban population: 37.3% of total population (2019) |
| Urbanization: | rate of urbanization: 4.06% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.874 million SANAA (capital), 950,000 Aden (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 0.84 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 21.4 years (2013 est.) |
| Mother's mean age at first birth: | median age at first birth among women 25-29 |
| Maternal mortality rate: | 164 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 44.6 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 48.6 deaths/1,000 live births |
| Infant mortality rate: | female: 40.4 deaths/1,000 live births |
| Life expectancy at birth: | total population: 66.2 years (2018 est.) |
| Life expectancy at birth: | male: 64 years |
| Life expectancy at birth: | female: 68.5 years |
| Total fertility rate: | 3.48 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 33.5% (2013) |
| Drinking water source: | improved: urban: 72% of population |
| Drinking water source: | rural: 46.5% of population |
| Drinking water source: | total: 54.9% of population |
| Drinking water source: | unimproved: urban: 28% of population |
| Drinking water source: | rural: 53.5% of population |
| Drinking water source: | total: 45.1% of population (2012 est.) |
| Current Health Expenditure: | 5.6% (2015) |
| Physicians density: | 0.31 physicians/1,000 population (2014) |
| Hospital bed density: | 0.7 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 92.5% of population (2012 est.) |
| Sanitation facility access: | rural: 34.1% of population (2012 est.) |
| Sanitation facility access: | total: 53.3% of population (2012 est.) |
| Sanitation facility access: | unimproved: urban: 7.5% of population (2012 est.) |
| Sanitation facility access: | rural: 65.9% of population (2012 est.) |
| Sanitation facility access: | total: 46.7% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2018 est.) |
| HIV/AIDS - deaths: | <500 (2018 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 17.1% (2016) |
| Children under the age of 5 years underweight: | 39.9% (2013) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 70.1% |
| Literacy: | male: 85.1% |
| Literacy: | female: 55% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 24.5% |
| Unemployment, youth ages 15-24: | male: 23.5% |
| Unemployment, youth ages 15-24: | female: 34.6% (2014 est.) |
