| People and Society | Sudan |
| --- | --- |
| Population: | 43,120,843 (July 2018 est.) |
| Nationality: | noun: Sudanese (singular and plural) |
| Nationality: | adjective: Sudanese |
| Ethnic groups: | unspecified Sudanese Arab (approximately 70%), Fur, Beja, Nuba, Fallata |
| Languages: | Arabic (official), English (official), Nubian, Ta Bedawie, Fur |
| Religions: | Sunni Muslim, small Christian minority |
| Age structure: | 0-14 years: 43.07% (male 9,434,634 /female 9,136,951) |
| Age structure: | 15-24 years: 20.22% (male 4,459,335 /female 4,259,341) |
| Age structure: | 25-54 years: 29.8% (male 6,236,954 /female 6,612,593) |
| Age structure: | 55-64 years: 3.93% (male 876,614 /female 819,048) |
| Age structure: | 65 years and over: 2.98% (male 688,391 /female 596,982) (2018 est.) |
| Dependency ratios: | total dependency ratio: 81.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 75.4 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 6.3 (2015 est.) |
| Dependency ratios: | potential support ratio: 15.9 (2015 est.) |
| Median age: | total: 17.9 years (2018 est.) |
| Median age: | male: 17.7 years |
| Median age: | female: 18.1 years |
| Population growth rate: | 2.93% (2018 est.) |
| Birth rate: | 34.2 births/1,000 population (2018 est.) |
| Death rate: | 6.7 deaths/1,000 population (2018 est.) |
| Net migration rate: | 1.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | with the exception of a ribbon of settlement that corresponds to the banks of the Nile, northern Sudan, which extends into the dry Sahara, is sparsely populated; more abundant vegetation and broader access to water increases population distribution in the south extending habitable range along nearly the entire border with South Sudan; sizeable areas of population are found around Khartoum, southeast between the Blue and White Nile Rivers, and througout South Darfur |
| Urbanization: | urban population: 34.9% of total population (2019) |
| Urbanization: | rate of urbanization: 3.17% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 5.678 million KHARTOUM (capital), 878,000 Nyala (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 1.07 male(s)/female |
| Sex ratio: | 65 years and over: 1.15 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Maternal mortality rate: | 295 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 44.2 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 49.2 deaths/1,000 live births |
| Infant mortality rate: | female: 38.8 deaths/1,000 live births |
| Life expectancy at birth: | total population: 65.8 years (2018 est.) |
| Life expectancy at birth: | male: 63.7 years |
| Life expectancy at birth: | female: 68.1 years |
| Total fertility rate: | 4.85 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 12.2% (2014) |
| Drinking water source: | improved: urban: 66% of population |
| Drinking water source: | rural: 50.2% of population |
| Drinking water source: | total: 55.5% of population |
| Drinking water source: | unimproved: urban: 34% of population |
| Drinking water source: | rural: 49.8% of population |
| Drinking water source: | total: 44.5% of population (2012 est.) |
| Current Health Expenditure: | 5.7% (2016) |
| Physicians density: | 0.41 physicians/1,000 population (2015) |
| Hospital bed density: | 0.8 beds/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 43.9% of population (2012 est.) |
| Sanitation facility access: | rural: 13.4% of population (2012 est.) |
| Sanitation facility access: | total: 23.6% of population (2012 est.) |
| Sanitation facility access: | unimproved: urban: 56.1% of population (2012 est.) |
| Sanitation facility access: | rural: 86.6% of population (2012 est.) |
| Sanitation facility access: | total: 76.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 59,000 (2018 est.) |
| HIV/AIDS - deaths: | 2,900 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 6.6% (2014) |
| Children under the age of 5 years underweight: | 33.5% (2014) |
| Education expenditures: | 2.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.9% |
| Literacy: | male: 83.3% |
| Literacy: | female: 68.6% (2015) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2015) |
| Unemployment, youth ages 15-24: | total: 20% |
| Unemployment, youth ages 15-24: | male: 16% |
| Unemployment, youth ages 15-24: | female: 32% (2009 est.) |
