| People and Society | SUDAN |
| --- | --- |
| Population: | 36,729,501 (July 2016 est.) |
| Nationality: | noun: Sudanese (singular and plural) |
| Nationality: | adjective: Sudanese |
| Ethnic groups: | Sudanese Arab (approximately 70%), Fur, Beja, Nuba, Fallata |
| Languages: | Arabic (official), English (official), Nubian, Ta Bedawie, Fur |
| Religions: | Sunni Muslim, small Christian minority |
| Age structure: | 0-14 years: 39.43% (male 7,351,759/female 7,130,224) |
| Age structure: | 15-24 years: 20.77% (male 3,926,374/female 3,703,826) |
| Age structure: | 25-54 years: 32.42% (male 5,779,482/female 6,129,213) |
| Age structure: | 55-64 years: 4.12% (male 793,848/female 721,075) |
| Age structure: | 65 years and over: 3.25% (male 645,876/female 547,824) (2016 est.) |
| Dependency ratios: | total dependency ratio: 78% |
| Dependency ratios: | youth dependency ratio: 72.1% |
| Dependency ratios: | elderly dependency ratio: 5.9% |
| Dependency ratios: | potential support ratio: 16.9% (2015 est.) |
| Median age: | total: 19.6 years |
| Median age: | male: 19.4 years |
| Median age: | female: 19.9 years (2016 est.) |
| Population growth rate: | 1.69% (2016 est.) |
| Birth rate: | 28.5 births/1,000 population (2016 est.) |
| Death rate: | 7.5 deaths/1,000 population (2016 est.) |
| Net migration rate: | -4.2 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | with the exception of a ribbon of settlement that corresponds to the banks of the Nile, northern Sudan, which extends into the dry Sahara, is sparsely populated; more abundant vegetation and broader access to water increases population distribution in the south extending habitable range along nearly the entire border with South Sudan; sizeable areas of population are found around Khartoum, southeast between the Blue and White Nile Rivers, and througout South Darfur |
| Urbanization: | urban population: 33.8% of total population (2015) |
| Urbanization: | rate of urbanization: 2.54% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KHARTOUM (capital) 5.129 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 1.1 male(s)/female |
| Sex ratio: | 65 years and over: 1.19 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Maternal mortality rate: | 311 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 50.2 deaths/1,000 live births |
| Infant mortality rate: | male: 55.4 deaths/1,000 live births |
| Infant mortality rate: | female: 44.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 64.1 years |
| Life expectancy at birth: | male: 62 years |
| Life expectancy at birth: | female: 66.3 years (2016 est.) |
| Total fertility rate: | 3.68 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 9% (2010) |
| Health expenditures: | 8.4% of GDP (2014) |
| Physicians density: | 0.28 physicians/1,000 population (2008) |
| Hospital bed density: | 0.8 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 66% of population |
| Drinking water source: | rural: 50.2% of population |
| Drinking water source: | total: 55.5% of population |
| unimproved: | urban: 34% of population |
| unimproved: | rural: 49.8% of population |
| unimproved: | total: 44.5% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43.9% of population |
| Sanitation facility access: | rural: 13.4% of population |
| Sanitation facility access: | total: 23.6% of population |
| unimproved: | urban: 56.1% of population |
| unimproved: | rural: 86.6% of population |
| unimproved: | total: 76.4% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.25% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 55,900 (2015 est.) |
| HIV/AIDS - deaths: | 3,000 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.6% (2014) |
| Children under the age of 5 years underweight: | 33% (2014) |
| Education expenditures: | 2.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 75.9% |
| Literacy: | male: 83.3% |
| Literacy: | female: 68.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 7 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2013) |
| Unemployment, youth ages 15-24: | total: 20% |
| Unemployment, youth ages 15-24: | male: 16% |
| Unemployment, youth ages 15-24: | female: 32% (2009 est.) |
