| People | Sudan |
| --- | --- |
| Population: | 41,087,825 (July 2009 est.) |
| Age structure: | 0-14 years: 40.7% (male 8,535,551/female 8,173,616) |
| Age structure: | 15-64 years: 56.8% (male 11,745,683/female 11,603,906) |
| Age structure: | 65 years and over: 2.5% (male 532,968/female 496,101) (2009 est.) |
| Median age: | total: 19.1 years |
| Median age: | male: 18.9 years |
| Median age: | female: 19.2 years (2009 est.) |
| Population growth rate: | 2.143% (2009 est.) |
| Birth rate: | 33.74 births/1,000 population (2009 est.) |
| Death rate: | 12.94 deaths/1,000 population (July 2009 est.) |
| Net migration rate: | 0.63 migrant(s)/1,000 population (2009 est.) |
| Urbanization: | urban population: 43% of total population (2008) |
| Urbanization: | rate of urbanization: 4.3% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 1.07 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2009 est.) |
| Infant mortality rate: | total: 82.43 deaths/1,000 live births |
| Infant mortality rate: | male: 82.48 deaths/1,000 live births |
| Infant mortality rate: | female: 82.37 deaths/1,000 live births (2009 est.) |
| Life expectancy at birth: | total population: 51.42 years |
| Life expectancy at birth: | male: 50.49 years |
| Life expectancy at birth: | female: 52.4 years (2009 est.) |
| Total fertility rate: | 4.48 children born/woman (2009 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 320,000 (2007 est.) |
| HIV/AIDS - deaths: | 25,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Sudanese (singular and plural) |
| Nationality: | adjective: Sudanese |
| Ethnic groups: | black 52%, Arab 39%, Beja 6%, foreigners 2%, other 1% |
| Religions: | Sunni Muslim 70% (in north), Christian 5% (mostly in south and Khartoum), indigenous beliefs 25% |
| Languages: | Arabic (official), English (official), Nubian, Ta Bedawie, diverse dialects of Nilotic, Nilo-Hamitic, Sudanic languages |
| Languages: | note: program of "Arabization" in process |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.1% |
| Literacy: | male: 71.8% |
| Literacy: | female: 50.5% (2003 est.) |
| Education expenditures: | 6% of GDP (1991) |
