| People | Sudan |
| --- | --- |
| Population: | 43,939,598 (July 2010 est.) |
| Age structure: | 0-14 years: 40.7% (male 8,535,551/female 8,173,616) |
| Age structure: | 15-64 years: 56.8% (male 11,745,683/female 11,603,906) |
| Age structure: | 65 years and over: 2.5% (male 532,968/female 496,101) (2010 est.) |
| Median age: | total: 18.4 years |
| Median age: | male: 18 years |
| Median age: | female: 18.8 years (2010 est.) |
| Population growth rate: | 2.497% (2010 est.) |
| Birth rate: | 36.58 births/1,000 population (2010 est.) |
| Death rate: | 11.66 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0.05 migrant(s)/1,000 population (2010 est.) |
| Urbanization: | urban population: 43% of total population (2008) |
| Urbanization: | rate of urbanization: 4.3% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 1.05 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 72.39 deaths/1,000 live births |
| Infant mortality rate: | male: 73.08 deaths/1,000 live births |
| Infant mortality rate: | female: 71.67 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 54.21 years |
| Life expectancy at birth: | male: 53.04 years |
| Life expectancy at birth: | female: 55.44 years (2010 est.) |
| Total fertility rate: | 4.93 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 320,000 (2007 est.) |
| HIV/AIDS - deaths: | 25,000 (2007 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, African trypanosomiasis (sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Sudanese (singular and plural) |
| Nationality: | adjective: Sudanese |
| Ethnic groups: | black 52%, Arab 39%, Beja 6%, foreigners 2%, other 1% |
| Religions: | Sunni Muslim 70% (in north), Christian 5% (mostly in south and Khartoum), indigenous beliefs 25% |
| Languages: | Arabic (official), English (official), Nubian, Ta Bedawie, diverse dialects of Nilotic, Nilo-Hamitic, Sudanic languages |
| Languages: | note: program of "Arabization" in process |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 61.1% |
| Literacy: | male: 71.8% |
| Literacy: | female: 50.5% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 4 years (2000) |
| Education expenditures: | 6% of GDP (1991) |
